date,col_name,Chronological order,Pred,shap,std
13-Apr,re3_1,18,re3_13-Apr,52.69273832,24.83989016
30-Mar,re3_0,8,re3_30-Mar,54.42677432,42.0791517
12-Oct,re3_14,148,re3_12-Oct,57.13707883,53.64488583
13-Apr,re1_1,16,re1_13-Apr,66.38814065,55.3577453
20-Jul,green_8,82,green_20-Jul,71.55082898,54.5435928
31-Aug,green_11,112,green_31-Aug,77.85579473,23.73975171
11-May,swir2_3,40,swir2_11-May,77.88357633,33.61638264
6-Jul,nir_7,74,nir_06-Jul,78.46688952,53.28643212
12-Oct,green_14,142,green_12-Oct,85.06441193,38.27914935
27-Apr,re1_2,26,re1_27-Apr,85.88160927,40.67484602
28-Sep,nirb_13,135,nirb_28-Sep,86.38347404,48.23513385
25-May,re3_4,48,re3_25-May,86.76723114,33.57597729
13-Apr,swir2_1,20,swir2_13-Apr,87.33691844,24.14233273
6-Jun,re3_5,58,re3_06-Jun,88.1392234,73.5972489
14-Sep,re2_12,127,re2_14-Sep,94.26577309,51.08856954
22-Jun,re3_6,68,re3_22-Jun,95.66032148,95.1407821
25-May,red_4,43,red_25-May,95.80690328,73.2604702
28-Sep,swir1_13,139,swir1_28-Sep,95.89550551,48.0299623
28-Sep,swir2_13,140,swir2_28-Sep,96.4430172,45.74037842
6-Jun,re1_5,56,re1_06-Jun,97.47236535,55.14708056
6-Jun,blue_5,51,blue_06-Jun,98.89590098,42.52150643
6-Jul,re3_7,78,re3_06-Jul,99.18100051,68.2682739
20-Jul,re3_8,88,re3_20-Jul,99.23125318,59.96713599
13-Apr,green_1,12,green_13-Apr,99.78351833,93.92258849
31-Aug,blue_11,111,blue_31-Aug,100.1169819,59.54316025
11-May,blue_3,31,blue_11-May,100.5232661,51.36374539
31-Aug,re3_11,118,re3_31-Aug,102.1130251,60.78363313
17-Aug,blue_10,101,blue_17-Aug,102.9096943,90.67515908
6-Jun,swir1_5,59,swir1_06-Jun,105.4986243,79.70931461
3-Aug,re1_9,96,re1_03-Aug,106.3635189,91.49429174
3-Aug,re2_9,97,re2_03-Aug,106.4316324,61.9519373
6-Jul,blue_7,71,blue_06-Jul,107.5368231,75.23014188
22-Jun,red_6,63,red_22-Jun,108.4117188,59.86543167
11-May,red_3,33,red_11-May,108.682628,103.8284354
22-Jun,green_6,62,green_22-Jun,109.5450368,46.69044408
22-Jun,blue_6,61,blue_22-Jun,110.4363346,57.12625308
6-Jul,green_7,72,green_06-Jul,112.5577284,53.01891964
14-Sep,blue_12,121,blue_14-Sep,113.8309584,86.21342206
