,explrtr,year,Qnum2,type,blue,green,red,nir,nirb,re1,re2,re3,swir1,swir2,month
1,ALB,2020,AEG20_02,grassland,463,955,663,4228,4258,1423,3299,3805,2483,1239,9
2,ALB,2020,AEG20_03,grassland,423,890,613,4232,3963,1388,3302,3818,2498,1228,9
3,ALB,2020,AEG20_06,grassland,426,861,582,4142,3905,1363,3231,3752,2474,1214,9
4,ALB,2020,AEG20_07,grassland,427,869,550,4495,4107,1327,3486,4089,2485,1166,9
5,ALB,2020,AEG20_09,grassland,418,865.5,528,4484.5,4280.5,1327.5,3478.5,4077,2483,1167.5,9
6,ALB,2020,AEG20_10,grassland,409,862,506,4474,4454,1328,3471,4065,2481,1169,9
7,ALB,2020,AEG09_03,grassland,441.5,750.5,637,3274.5,3134.5,1191,2504.5,2887.5,2600.5,1298.5,9
8,ALB,2020,AEG09_09,grassland,408,690,603,3078,2935,1132,2346,2708,2521,1279,9
9,ALB,2020,AEG26_03,grassland,479,793,692,3331,3147,1231,2576,2955,2553,1289,9
10,ALB,2020,AEG26_04,grassland,479,793,692,3331,3147,1231,2576,2955,2553,1289,9
11,ALB,2020,AEG26_07,grassland,426,724,610,3361,3282,1181,2574,2985,2457,1215,9
12,ALB,2020,AEG47_02,grassland,492,796,667,3205,2989,1216,2458,2817,2543,1314,9
13,ALB,2020,AEG47_03,grassland,503,828,691,3249,3040,1249,2502,2854,2582,1341,9
14,ALB,2020,AEG47_05,grassland,516,849,710,3259,3074,1255,2527,2883,2570,1340,9
15,ALB,2020,AEG47_07,grassland,532,847,735,3109,2941,1231,2414,2756,2555,1355,9
16,ALB,2020,AEG47_08,grassland,532,847,735,3109,2941,1231,2414,2756,2555,1355,9
17,ALB,2020,AEG47_10,grassland,539,856,742,3154,2940,1251,2442,2793,2581,1370,9
18,ALB,2020,AEG42_03,grassland,339,689,455,3176,3341,1001,2393,2789,1820,892,9
19,ALB,2020,AEG42_04,grassland,339,689,455,3176,3341,1001,2393,2789,1820,892,9
20,ALB,2020,AEG42_05,grassland,366,736,502,3440,3514,1131,2652,3098,2120,1079,9
21,ALB,2020,AEG42_06,grassland,366,736,502,3440,3514,1131,2652,3098,2120,1079,9
22,ALB,2020,AEG42_07,grassland,365,702,504,3571,3245,1176,2717,3164,2254,1160,9
23,ALB,2020,AEG42_08,grassland,365,702,504,3571,3245,1176,2717,3164,2254,1160,9
24,ALB,2020,AEG42_09,grassland,374,708,528,3605.5,3229,1196,2724,3172.5,2290,1185.5,9
25,ALB,2020,AEG42_10,grassland,383,714,552,3640,3213,1216,2731,3181,2326,1211,9
26,ALB,2020,AEG48_01,grassland,514,804,745,2813.5,2626.5,1258,2188.5,2472,2596,1449.5,9
27,ALB,2020,AEG48_03,grassland,505,796,735,2756,2570,1231,2144,2422,2571,1432,9
28,ALB,2020,AEG48_04,grassland,522,806,737,2844,2635,1265,2213,2501,2586,1442,9
29,ALB,2020,AEG48_05,grassland,522,806,737,2844,2635,1265,2213,2501,2586,1442,9
30,ALB,2020,AEG48_06,grassland,496,770,704,2850,2677,1263,2215,2504,2590,1441,9
31,ALB,2020,AEG48_08,grassland,494,778,708,2951,2764,1255,2288,2597,2615,1438,9
32,ALB,2020,AEG48_09,grassland,494,778,708,2951,2764,1255,2288,2597,2615,1438,9
33,ALB,2020,AEG48_10,grassland,487,773.5,698,2970.5,2794.5,1251.5,2302.5,2616.5,2616,1431,9
34,ALB,2020,AEG37_01,grassland,343,683,403,4253,4078,1043,3266,3928,2208,998,9
35,ALB,2020,AEG37_03,grassland,344,697,396,4294,4135,1051,3282,3973,2224,1002,9
36,ALB,2020,AEG37_04,grassland,344,697,396,4294,4135,1051,3282,3973,2224,1002,9
37,ALB,2020,AEG37_05,grassland,332,687,373,4382,4263,1059,3352,4059,2213,986,9
38,ALB,2020,AEG37_07,grassland,322,673,363,4405,4315,1045,3354,4088,2173,965,9
39,ALB,2020,AEG37_10,grassland,330,683,363,4234,4213,1030,3240,3892,2133,955,9
40,ALB,2020,AEG41_01,grassland,269,638,309,4450,4275,1008,3476,4186,1930,851,9
41,ALB,2020,AEG10_01,grassland,438,758,660,3600,3259,1252,2726,3180,2720,1356,9
42,ALB,2020,AEG10_03,grassland,407,748,599,3582,3393,1212,2734,3200,2672,1319,9
43,ALB,2020,AEG10_04,grassland,407,748,599,3582,3393,1212,2734,3200,2672,1319,9
44,ALB,2020,AEG10_05,grassland,420,747,606,3570,3392,1212,2741,3180,2667,1316,9
45,ALB,2020,AEG10_07,grassland,426,757,603,3593,3364,1197,2770,3193,2627,1284,9
46,ALB,2020,AEG10_09,grassland,412,743,574,3576,3357,1187,2755,3179,2607,1271,9
47,ALB,2020,AEG10_10,grassland,412,743,574,3576,3357,1187,2755,3179,2607,1271,9
48,ALB,2020,AEG22_01,grassland,426,782,521,4053,4007,1221,3179,3727,2433,1114,9
49,ALB,2020,AEG22_02,grassland,359,662,436,3962,3574,1159,3123,3667,2366,1071,9
50,ALB,2020,AEG22_03,grassland,359,662,436,3962,3574,1159,3123,3667,2366,1071,9
51,ALB,2020,AEG22_06,grassland,369,666,426,4034,3345,1190,3201,3740,2420,1099,9
52,ALB,2020,AEG22_07,grassland,443,825,516,4219,3894,1270,3338,3882,2535,1165,9
53,ALB,2020,AEG22_08,grassland,443,825,516,4219,3894,1270,3338,3882,2535,1165,9
54,ALB,2020,AEG22_09,grassland,475,898,558,4352,4238,1312,3427,3976,2591,1199,9
55,ALB,2020,AEG22_10,grassland,475,898,558,4352,4238,1312,3427,3976,2591,1199,9
56,ALB,2020,AEG44_04,grassland,302,608,319,3529,3469,945,2736,3251,1737,773,9
57,ALB,2020,AEG44_05,grassland,277,564,292,3500,3154,944,2707,3216,1723,759,9
58,ALB,2020,AEG44_06,grassland,277,564,292,3500,3154,944,2707,3216,1723,759,9
59,ALB,2020,AEG44_07,grassland,277,564,292,3500,3154,944,2707,3216,1723,759,9
60,ALB,2020,AEG44_08,grassland,277,564,292,3500,3154,944,2707,3216,1723,759,9
61,ALB,2020,AEG07_02,grassland,425.5,675.5,531.5,2954,2781,1028.5,2269.5,2625.5,1978.5,946,9
62,ALB,2020,AEG07_03,grassland,430,686,544,2976,2817,1035,2283,2644,1994,953,9
63,ALB,2020,AEG07_05,grassland,390,656,497,2808,2747,971,2149,2499,1901,900,9
64,ALB,2020,AEG07_07,grassland,389,638,483,2823,2723,975,2173,2523,1921,909,9
65,ALB,2020,AEG07_08,grassland,389,638,483,2823,2723,975,2173,2523,1921,909,9
66,ALB,2020,AEG07_09,grassland,446,707,552,3056,2913,1085,2363,2728,2140,1028,9
67,ALB,2020,AEG07_10,grassland,412,669,509.5,3057,2825.5,1079,2358.5,2724.5,2139.5,1028,9
68,ALB,2020,AEG13_02,grassland,339,610.5,507.5,3228.5,3037.5,1031.5,2407.5,2836,2383,1234,9
69,ALB,2020,AEG13_05,grassland,380,654,582,3074,2900,1068,2313,2710,2385,1278,9
70,ALB,2020,AEG13_06,grassland,380,654,582,3074,2900,1068,2313,2710,2385,1278,9
71,ALB,2020,AEG13_07,grassland,378,646,551,3072,2929,1052,2310,2724,2338,1253,9
72,ALB,2020,AEG13_08,grassland,378,646,551,3072,2929,1052,2310,2724,2338,1253,9
73,ALB,2020,AEG13_09,grassland,356,633,517,3078,2965,1026,2320,2756,2275,1214,9
74,ALB,2020,AEG13_10,grassland,356,633,517,3078,2965,1026,2320,2756,2275,1214,9
75,ALB,2020,AEG15_01,grassland,312,660,393,4053,4004,1044,3045,3737,2074,986,9
76,ALB,2020,AEG15_03,grassland,312.5,658,390.5,4108,3948.5,1054,3090.5,3787.5,2097,995,9
77,ALB,2020,AEG15_05,grassland,313,656,388,4163,3893,1064,3136,3838,2120,1004,9
78,ALB,2020,AEG15_06,grassland,328,645,409,4097,3870,1043,3087,3732,2173,1039,9
79,ALB,2020,AEG15_07,grassland,328,645,409,4097,3870,1043,3087,3732,2173,1039,9
80,ALB,2020,AEG15_08,grassland,325,638,397,4109,3861,1044,3087,3745,2180,1044,9
81,ALB,2020,AEG15_09,grassland,325,638,397,4109,3861,1044,3087,3745,2180,1044,9
82,ALB,2020,AEG15_10,grassland,336,659,422,4196,4024,1067,3152,3828,2216,1060,9
83,ALB,2020,AEG46_01,grassland,445,814,535,3814,3862,1193,3001,3505,2161,1050,9
84,ALB,2020,AEG46_03,grassland,452,779,519,3850,3683,1134,2941,3526,2082,1006,9
85,ALB,2020,AEG46_04,grassland,452,779,519,3850,3683,1134,2941,3526,2082,1006,9
86,ALB,2020,AEG46_05,grassland,445,758,491,3948,3883,1120,2977,3611,2111,1017,9
87,ALB,2020,AEG46_06,grassland,445,758,491,3948,3883,1120,2977,3611,2111,1017,9
88,ALB,2020,AEG46_07,grassland,437.5,741,483.5,3929.5,3929.5,1103,2961,3583,2104,1013.5,9
89,ALB,2020,AEG46_08,grassland,430,724,476,3911,3976,1086,2945,3555,2097,1010,9
90,ALB,2020,AEG46_09,grassland,430,724,476,3911,3976,1086,2945,3555,2097,1010,9
91,ALB,2020,AEG46_10,grassland,408,706,453,3986,3960,1045,3003,3615,2082,983,9
92,ALB,2020,AEG06_03,grassland,424,725,656,3081,2917,1147,2354,2742,2540,1389,9
93,ALB,2020,AEG06_04,grassland,424,725,656,3081,2917,1147,2354,2742,2540,1389,9
94,ALB,2020,AEG06_05,grassland,413,713,621,3129,2958,1161,2392,2788,2555,1392,9
95,ALB,2020,AEG06_06,grassland,413,713,621,3129,2958,1161,2392,2788,2555,1392,9
96,ALB,2020,AEG06_07,grassland,387,693,577,3108,2974,1111,2383,2763,2447,1310,9
97,ALB,2020,AEG06_08,grassland,387,693,577,3108,2974,1111,2383,2763,2447,1310,9
98,ALB,2020,AEG06_09,grassland,354,620,502,2778,2655,984,2124,2476,2124,1125,9
99,ALB,2020,AEG06_10,grassland,354,620,502,2778,2655,984,2124,2476,2124,1125,9
100,ALB,2020,AEG25_05,grassland,412,688,572,3181,3033,1075,2375,2758,2106,1039,9
101,ALB,2020,AEG25_08,grassland,255,495,347,2927,2884,867,2089,2564,1710,846,9
102,ALB,2020,AEG16_03,grassland,434,852,574,3914,3752,1329,3133,3587,2509,1249,9
103,ALB,2020,AEG16_04,grassland,420,851,559,3987,3853,1339,3176,3649,2538,1255,9
104,ALB,2020,AEG16_05,grassland,420,851,559,3987,3853,1339,3176,3649,2538,1255,9
105,ALB,2020,AEG16_06,grassland,416,829,542,3915,3820,1315,3119,3578,2537,1255,9
106,ALB,2020,AEG16_07,grassland,416,829,542,3915,3820,1315,3119,3578,2537,1255,9
107,ALB,2020,AEG16_08,grassland,401,809,554,3873,3660,1305,3092,3537,2536,1256,9
108,ALB,2020,AEG16_09,grassland,401,809,554,3873,3660,1305,3092,3537,2536,1256,9
109,ALB,2020,AEG16_10,grassland,401,809,554,3873,3660,1305,3092,3537,2536,1256,9
110,ALB,2020,AEG17_03,grassland,347.5,743.5,438,4034.5,3934,1148.5,3102.5,3619,2226.5,990.5,9
111,ALB,2020,AEG17_04,grassland,351,753,442,4084,4016,1144,3100,3631,2209,980,9
112,ALB,2020,AEG17_05,grassland,340,741,423,4005,3984,1126,3064,3572,2169,959,9
113,ALB,2020,AEG17_06,grassland,340,741,423,4005,3984,1126,3064,3572,2169,959,9
114,ALB,2020,AEG17_08,grassland,323,702,405,3814,3856,1097,2945,3449,2178,985,9
