,plot id,Useful_PlotID,Exploratory,Qnum,month,year,date_releves,m from south corner,SpecRich,LAI_field,S2_timestep,mowing date,biomass_g,biomass_gm2,Grass_percent_cover,Forb_percent_cover,Legumes_percent_cover,Bare_percent_cover,Litter_percent_cover,Moss_percent_cover,Senescent_percent_cover,Moribund_percent_cover,Dung_percent_cover,Shrub_percent_cover,Green_veg_percent_cover,Grass_height,Forbs_height,Legumes_height,RPM,comments_quadrat,comments_plot,date_uav,UAV,time_UAV,green,red,rededge,nir,RAOsQ
0,AEG1,AEG01,ALB,AEG01_01,6,2020,17.06.2020,6,30,4.84,20200621,,,,20,73,,4,1,,2,,,,93,,,,35.8,,No flight because of powerline,17.06.2020,Bluegrass,,,,,,
1,AEG1,AEG01,ALB,AEG01_02,6,2020,17.06.2020,10.5,30,3.8,20200621,,109.41,303.9166667,10,75,2,7,3,,1,2,,,87,,,,42.2,,,17.06.2020,Bluegrass,,,,,,
2,AEG1,AEG01,ALB,AEG01_03,6,2020,17.06.2020,15,30,4.28,20200621,,,,15,70,1,6,4,,1,3,,,86,,,,35,,,17.06.2020,Bluegrass,,,,,,
3,AEG1,AEG01,ALB,AEG01_04,6,2020,17.06.2020,19.5,30,5.21,20200621,,,,15,78,2,2,1,,2,,,,95,,,,,,,17.06.2020,Bluegrass,,,,,,
4,AEG1,AEG01,ALB,AEG01_05,6,2020,17.06.2020,24,30,5.52,20200621,,206.86,574.6111111,25,68,1,3,2,,1,,,,94,,,,75,,,17.06.2020,Bluegrass,,,,,,
5,AEG1,AEG01,ALB,AEG01_06,6,2020,17.06.2020,28.5,30,5.56,20200621,,,,10,86,1,0.1,1.9,,1,,,,97,,,,,,,17.06.2020,Bluegrass,,,,,,
6,AEG1,AEG01,ALB,AEG01_07,6,2020,17.06.2020,33,30,5.46,20200621,,,,8,91.7,,0.1,0.1,,0.1,,,,100,,,,40.4,,,17.06.2020,Bluegrass,,,,,,
7,AEG1,AEG01,ALB,AEG01_08,6,2020,17.06.2020,37.5,30,4.64,20200621,,,,15,74,5,0.1,2,,3.9,,,,94,,,,60,,,17.06.2020,Bluegrass,,,,,,
8,AEG1,AEG01,ALB,AEG01_09,6,2020,17.06.2020,42,30,5.22,20200621,,179.15,497.6388889,50,44,2,0.1,2,,1.9,,,,96,,,,38.6,,,17.06.2020,Bluegrass,,,,,,
9,AEG1,AEG01,ALB,AEG01_10,6,2020,17.06.2020,46,30,4.48,20200621,,,,41,51,,5,2,,1,,,,92,,,,40.2,,,17.06.2020,Bluegrass,,,,,,
10,AEG2,AEG02,ALB,AEG02_01,6,2020,18.06.2020,6,20,3.74,20200621,,,,40,43,10,5,,,,2,,,93,27,17,19,17.6,,,18.06.2020,Bluegrass,15:00,439,180,1930,3325,0.546629256
