"","explrtr","year","Qnum2","type","blue","green","red","nir","nirb","re1","re2","re3","swir1","swir2","month"
"1","HAI","2021","HEG27_02","grassland",385.5,746,497,3369.5,3276.5,1136.5,2645,3063.5,2143.5,1058,"09"
"2","HAI","2021","HEG27_04","grassland",349.5,673,446,3336,3092,1085,2602,3018.5,2064,973.5,"09"
"3","HAI","2021","HEG27_07","grassland",322.5,639.5,396.5,3474,3155,1088.5,2706,3168.5,2078.5,972,"09"
"4","HAI","2021","HEG27_10","grassland",341,719,411,3724,3722,1132,2897,3413,2116,980,"09"
"5","HAI","2021","HEG26_02","grassland",329.5,703.5,459.5,3442.5,3214.5,1176.5,2632,3042,2043,978.5,"09"
"6","HAI","2021","HEG46_01","grassland",438,765.5,666,3187,2999.5,1262,2509.5,2863,2747.5,1413,"09"
"7","HAI","2021","HEG46_04","grassland",418,725,634,3150,3003,1224,2472,2825,2689,1370,"09"
"8","HAI","2021","HEG46_05","grassland",418,725,634,3150,3003,1224,2472,2825,2689,1370,"09"
"9","HAI","2021","HEG46_07","grassland",412,721,612,3174,2987,1185,2481,2836,2618,1321,"09"
"10","HAI","2021","HEG46_10","grassland",403,712,570,3195,3034,1175,2497,2866,2574,1290,"09"
"11","HAI","2021","HEG49_05","grassland",295,661,394,3727,3510,1118,2839,3326,1922,895,"09"
"12","HAI","2021","HEG49_07","grassland",283,663,390,3655,3400,1116,2796,3256,1914,896,"09"
"13","HAI","2021","HEG49_10","grassland",298,669,398,3736,3453,1150,2856,3341,1947,922,"09"
"14","HAI","2021","HEG21_01","grassland",404,781,516,3837,3708,1198,3017,3519,2250,1070,"09"
"15","HAI","2021","HEG21_08","grassland",379,738,442,3962,3841,1209,3135,3693,2331,1122,"09"
"16","HAI","2021","HEG21_10","grassland",419,783,513,3898,3723,1257,3117,3618,2347,1140,"09"
"17","HAI","2021","HEG23_03","grassland",272,631,337,4006,3755,1073,3027,3567,1894,821,"09"
"18","HAI","2021","HEG23_05","grassland",278,642,338,4048,3845,1081,3063,3607,1909,830,"09"
"19","HAI","2021","HEG23_06","grassland",278,642,338,4048,3845,1081,3063,3607,1909,830,"09"
"20","HAI","2021","HEG23_07","grassland",273,650,332,4084,3900,1089,3100,3643,1928,839,"09"
"21","HAI","2021","HEG23_09","grassland",275,655.5,331.5,4095.5,3898,1092.5,3106.5,3651.5,1936.5,844.5,"09"
"22","HAI","2021","HEG25_02","grassland",341,752,482,3761,3898,1266,2972,3451,2341,1239,"09"
"23","HAI","2021","HEG25_04","grassland",346,763,502,3845,3822,1383,3028,3506,2545,1400,"09"
"24","HAI","2021","HEG25_05","grassland",365,785,531,3804,3805,1412,3008,3466,2564,1425,"09"
"25","HAI","2021","HEG25_06","grassland",365,785,531,3804,3805,1412,3008,3466,2564,1425,"09"
"26","HAI","2021","HEG25_07","grassland",387,809.5,567.5,3806,3815.5,1422.5,3018.5,3475,2568,1424,"09"
"27","HAI","2021","HEG25_08","grassland",409,834,604,3808,3826,1433,3029,3484,2572,1423,"09"
"28","HAI","2021","HEG30_01","grassland",250,594,304,4001,3880,979,3088,3660,1797,765,"09"
"29","HAI","2021","HEG30_04","grassland",268,624,340,4026,3898,1030,3204,3715,1907,815,"09"
"30","HAI","2021","HEG30_06","grassland",263,617,326,4051,3953,1040,3201,3722,1937,827,"09"
"31","HAI","2021","HEG30_07","grassland",263,617,326,4051,3953,1040,3201,3722,1937,827,"09"
"32","HAI","2021","HEG30_08","grassland",262.5,614.5,324.5,4049.5,3921,1046.5,3189.5,3716,1954.5,836,"09"
"33","HAI","2021","HEG30_09","grassland",262,612,323,4048,3889,1053,3178,3710,1972,845,"09"
"34","HAI","2021","HEG30_10","grassland",262,612,323,4048,3889,1053,3178,3710,1972,845,"09"
"35","HAI","2021","HEG43_03","grassland",358,632,560,2824,2665,1061,2130,2465,2176,1123,"09"
"36","HAI","2021","HEG43_04","grassland",358,632,560,2824,2665,1061,2130,2465,2176,1123,"09"
"37","HAI","2021","HEG43_06","grassland",381,649,571,2831,2634,1087,2142,2486,2189,1135,"09"
"38","HAI","2021","HEG43_09","grassland",381,661,598,2852,2719,1111,2177,2508,2168,1157,"09"
"39","HAI","2021","HEG43_10","grassland",381,661,598,2852,2719,1111,2177,2508,2168,1157,"09"
"40","HAI","2021","HEG01_03","grassland",454,846,663,3969,3763,1378,3018,3503,2496,1262,"09"
"41","HAI","2021","HEG01_04","grassland",454,846,663,3969,3763,1378,3018,3503,2496,1262,"09"
"42","HAI","2021","HEG01_05","grassland",395.5,805,564.5,4037,3822,1307,3102.5,3598,2296,1109,"09"
"43","HAI","2021","HEG01_06","grassland",337,764,466,4105,3881,1236,3187,3693,2096,956,"09"
"44","HAI","2021","HEG01_07","grassland",337,764,466,4105,3881,1236,3187,3693,2096,956,"09"
"45","HAI","2021","HEG01_08","grassland",333,766,433,4111,3857,1212,3195,3716,2041,924,"09"
"46","HAI","2021","HEG01_09","grassland",333,766,433,4111,3857,1212,3195,3716,2041,924,"09"
"47","HAI","2021","HEG01_10","grassland",418,820,571,3968,3798,1259,3047,3537,2221,1075,"09"
"48","HAI","2021","HEG16_01","grassland",309,723,330,4163,4162,1136,3364,3864,1978,873,"09"
"49","HAI","2021","HEG16_05","grassland",310,721,351,4103,3993,1152,3295,3790,2015,892,"09"
"50","HAI","2021","HEG16_08","grassland",323,718,375,4037,3858,1145,3245,3711,2011,894,"09"
"51","HAI","2021","HEG34_03","grassland",323,737,363,4049,3909,1201,3240,3724,1865,834,"09"
"52","HAI","2021","HEG34_06","grassland",314,717,363.5,4019,3812,1179.5,3201.5,3702.5,1821,806.5,"09"
"53","HAI","2021","HEG34_07","grassland",317,715,362,3986,3770,1172,3178,3677,1813,804,"09"
"54","HAI","2021","HEG36_02","grassland",389,697,582,3084,2903,1139,2388,2757,2495,1311,"09"
"55","HAI","2021","HEG38_02","grassland",313,755,348,4286,4165,1190,3444,3970,2209,978,"09"
"56","HAI","2021","HEG38_03","grassland",319,759,357,4279,4135,1191,3438,3958,2216,981,"09"
"57","HAI","2021","HEG38_04","grassland",319,759,357,4279,4135,1191,3438,3958,2216,981,"09"
"58","HAI","2021","HEG38_07","grassland",342,774,381,4336,4045,1213,3457,3996,2252,994,"09"
"59","HAI","2021","HEG40_02","grassland",325,776,370,4396,4165,1185,3425,3981,2185,961,"09"
"60","HAI","2021","HEG40_04","grassland",320,725,364,4175,3999,1136,3237,3775,2136,936,"09"
"61","HAI","2021","HEG40_06","grassland",310,682,364,4102,3872,1124,3223,3733,2121,933,"09"
"62","HAI","2021","HEG40_07","grassland",309,686,356.5,4152.5,3913,1125.5,3257.5,3774,2121,932,"09"
"63","HAI","2021","HEG40_09","grassland",308,690,349,4203,3954,1127,3292,3815,2121,931,"09"
"64","HAI","2021","HEG03_03","grassland",369,778,545,3764,3643,1286,2943,3387,2187,1039,"09"
