plot id,Useful_PlotID,Exploratory,Qnum,month,year,date_releves,m from south corner,SpecRich,LAI_field,S2_timestep,biomass_g,biomass_gm2,Grass_percent_cover,Forb_percent_cover,Legumes_percent_cover,Bare_percent_cover,Litter_percent_cover,Moss_percent_cover,Senescent_percent_cover,Moribund_percent_cover,Dung_percent_cover,Shrub_percent_cover,Green_veg_percent_cover,Grass_height,Forbs_height,Legumes_height,RPM,comments_quadrat,comments_plot,date_uav,UAV,time_UAV,green,red,rededge,nir,RAOsQ,DateCut1,DateCut2,DateCut3,code
AEG1,AEG01,ALB,AEG01_01,6,2020,2020-06-17,6,30,4.84,2020-06-21,,,20,73,,4,1,,2,,,,93,,,,35.8,,No flight because of powerline,2020-06-17,Bluegrass,,,,,,,2020-07-05,2020-09-22,,AEG01_0162020
AEG1,AEG01,ALB,AEG01_02,6,2020,2020-06-17,10.5,30,3.8,2020-06-21,109.41,303.9166667,10,75,2,7,3,,1,2,,,87,,,,42.2,,,2020-06-17,Bluegrass,,,,,,,2020-07-05,2020-09-22,,AEG01_0262020
AEG1,AEG01,ALB,AEG01_03,6,2020,2020-06-17,15,30,4.28,2020-06-21,,,15,70,1,6,4,,1,3,,,86,,,,35,,,2020-06-17,Bluegrass,,,,,,,2020-07-05,2020-09-22,,AEG01_0362020
AEG1,AEG01,ALB,AEG01_04,6,2020,2020-06-17,19.5,30,5.21,2020-06-21,,,15,78,2,2,1,,2,,,,95,,,,,,,2020-06-17,Bluegrass,,,,,,,2020-07-05,2020-09-22,,AEG01_0462020
AEG1,AEG01,ALB,AEG01_05,6,2020,2020-06-17,24,30,5.52,2020-06-21,206.86,574.6111111,25,68,1,3,2,,1,,,,94,,,,75,,,2020-06-17,Bluegrass,,,,,,,2020-07-05,2020-09-22,,AEG01_0562020
AEG1,AEG01,ALB,AEG01_06,6,2020,2020-06-17,28.5,30,5.56,2020-06-21,,,10,86,1,0.1,1.9,,1,,,,97,,,,,,,2020-06-17,Bluegrass,,,,,,,2020-07-05,2020-09-22,,AEG01_0662020
AEG1,AEG01,ALB,AEG01_07,6,2020,2020-06-17,33,30,5.46,2020-06-21,,,8,91.7,,0.1,0.1,,0.1,,,,100,,,,40.4,,,2020-06-17,Bluegrass,,,,,,,2020-07-05,2020-09-22,,AEG01_0762020
AEG1,AEG01,ALB,AEG01_08,6,2020,2020-06-17,37.5,30,4.64,2020-06-21,,,15,74,5,0.1,2,,3.9,,,,94,,,,60,,,2020-06-17,Bluegrass,,,,,,,2020-07-05,2020-09-22,,AEG01_0862020
AEG1,AEG01,ALB,AEG01_09,6,2020,2020-06-17,42,30,5.22,2020-06-21,179.15,497.6388889,50,44,2,0.1,2,,1.9,,,,96,,,,38.6,,,2020-06-17,Bluegrass,,,,,,,2020-07-05,2020-09-22,,AEG01_0962020
AEG1,AEG01,ALB,AEG01_10,6,2020,2020-06-17,46,30,4.48,2020-06-21,,,41,51,,5,2,,1,,,,92,,,,40.2,,,2020-06-17,Bluegrass,,,,,,,2020-07-05,2020-09-22,,AEG01_1062020
AEG2,AEG02,ALB,AEG02_01,6,2020,2020-06-18,6,20,3.74,2020-06-21,,,40,43,10,5,,,,2,,,93,27,17,19,17.6,,,2020-06-18,Bluegrass,15:00,439,180,1930,3325,0.546629256,2020-05-22,2020-07-10,2020-09-16,AEG02_0162020
AEG2,AEG02,ALB,AEG02_02,6,2020,2020-06-18,10.5,20,4.29,2020-06-21,47.19,131.0833333,20,30,46,2,,,,2,,,96,22,22,16,16.2,,intensively managed,2020-06-18,Bluegrass,15:00,564,217.5,2449.5,3995,0.544532733,2020-05-22,2020-07-10,2020-09-16,AEG02_0262020
AEG2,AEG02,ALB,AEG02_03,6,2020,2020-06-18,15,20,4.14,2020-06-21,,,37,41,18,3,1,,,,,,94,33,21,15,21.2,,not mown,2020-06-18,Bluegrass,15:00,503,212,2192,3793.5,0.645154831,2020-05-22,2020-07-10,2020-09-16,AEG02_0362020
AEG2,AEG02,ALB,AEG02_04,6,2020,2020-06-18,19.5,20,4.09,2020-06-21,,,46,40,6,6,,,,2,,,92,28,22,8,18.2,,overcast when flown,2020-06-18,Bluegrass,15:00,503.5,214,2204.5,3784,0.684568623,2020-05-22,2020-07-10,2020-09-16,AEG02_0462020
AEG2,AEG02,ALB,AEG02_05,6,2020,2020-06-18,24,20,4.27,2020-06-21,43.79,121.6388889,20,68,1,10,1,,,,,,89,18,24,5,18.4,,,2020-06-18,Bluegrass,15:00,511,211,2255.5,3683,0.472075758,2020-05-22,2020-07-10,2020-09-16,AEG02_0562020
AEG2,AEG02,ALB,AEG02_06,6,2020,2020-06-18,28.5,20,4.13,2020-06-21,,,66,24,1,,4,,,5,,,91,32,24,18,19.6,,,2020-06-18,Bluegrass,15:00,417,175,1853.5,3307,0.628965317,2020-05-22,2020-07-10,2020-09-16,AEG02_0662020
AEG2,AEG02,ALB,AEG02_07,6,2020,2020-06-18,33,20,4.64,2020-06-21,,,43,50,,5,2,,,,,,93,26,26,,17.4,,,2020-06-18,Bluegrass,15:00,462.5,201,1999,3384.5,0.658284053,2020-05-22,2020-07-10,2020-09-16,AEG02_0762020
AEG2,AEG02,ALB,AEG02_08,6,2020,2020-06-18,37.5,20,4.35,2020-06-21,,,79,15,,3,2,,,1,,,94,35,24,,22.2,,,2020-06-18,Bluegrass,15:00,391,169,1805,3194.5,0.604999384,2020-05-22,2020-07-10,2020-09-16,AEG02_0862020
AEG2,AEG02,ALB,AEG02_09,6,2020,2020-06-18,42,20,4.73,2020-06-21,50.26,139.6111111,86,9,,,5,,,,,,95,29,21,,19.6,,,2020-06-18,Bluegrass,15:00,433.5,190.5,2135,3721,1.40890524,2020-05-22,2020-07-10,2020-09-16,AEG02_0962020
AEG2,AEG02,ALB,AEG02_10,6,2020,2020-06-18,46,20,3.62,2020-06-21,,,66,20,,,14,,,,,,86,32,19,,15.6,,,2020-06-18,Bluegrass,15:00,356.5,174.5,1556,2578,1.700337469,2020-05-22,2020-07-10,2020-09-16,AEG02_1062020
AEG3,AEG03,ALB,AEG03_01,6,2020,2020-06-15,6,24,1.93,2020-06-21,,,30,47,7,0.1,4.9,3,3,5,,,84,40,17,17,16.2,,,2020-06-15,Bluegrass,14:00,530,323.5,1844.5,2801,0.736918641,2020-07-12,2020-10-20,,AEG03_0162020
AEG3,AEG03,ALB,AEG03_02,6,2020,2020-06-15,10.5,24,2.35,2020-06-21,60.83,168.9722222,37,42,6,1,6,1,4,3,,,85,38,18,18,18.8,,,2020-06-15,Bluegrass,14:00,497.5,323.5,1746.5,2691,0.581493881,2020-07-12,2020-10-20,,AEG03_0262020
AEG3,AEG03,ALB,AEG03_03,6,2020,2020-06-15,15,24,2.66,2020-06-21,,,42,39,3,,8,,5,3,,,84,34,16,15,24,,,2020-06-15,Bluegrass,14:00,480.5,320,1758.5,2763,0.752868996,2020-07-12,2020-10-20,,AEG03_0362020
AEG3,AEG03,ALB,AEG03_04,6,2020,2020-06-15,19.5,24,2.31,2020-06-21,,,30,50,9,,4,,5,2,,,89,40,15,15,18,,,2020-06-15,Bluegrass,14:00,536,316,1951,3017,0.548208114,2020-07-12,2020-10-20,,AEG03_0462020
AEG3,AEG03,ALB,AEG03_05,6,2020,2020-06-15,24,24,3.57,2020-06-21,73.6,204.4444444,58,14,5,9,5,,7,2,,,77,49,15,17,23.2,Ant hive x2,,2020-06-15,Bluegrass,14:00,491.5,314.5,1746.5,2750,0.648708139,2020-07-12,2020-10-20,,AEG03_0562020
AEG3,AEG03,ALB,AEG03_06,6,2020,2020-06-15,28.5,24,2.68,2020-06-21,,,31,35,20,1,4,,5,4,,,86,33,26,10,21.8,,,2020-06-15,Bluegrass,14:00,513,309,1894.5,2989.5,0.533331767,2020-07-12,2020-10-20,,AEG03_0662020
AEG3,AEG03,ALB,AEG03_07,6,2020,2020-06-15,33,24,3.3,2020-06-21,,,44,35,10,,3,,5,3,,,89,28,20,15,15.2,,,2020-06-15,Bluegrass,14:00,541.5,322.5,1962,3049,0.562901597,2020-07-12,2020-10-20,,AEG03_0762020
AEG3,AEG03,ALB,AEG03_08,6,2020,2020-06-15,37.5,24,3.06,2020-06-21,,,45,34,12,,4,,3,2,,,91,28,15,15,13.2,,,2020-06-15,Bluegrass,14:00,580,312.5,2118,3268,0.560321564,2020-07-12,2020-10-20,,AEG03_0862020
