,Year,ep,yep,explo,x,y,number_vascular_plants,SpecRichness,height_cm,biomass_g,NMDS1,NMDS2,SpecRich_157,Shannon_157,Simpson_157,inverse_Simpson_157,PielouEvenness_157,Rao_Q_157,Redundancy_157,Shannon,Simpson,FisherAlpha,PielouEvenness,LUI_2015_2018,SoilTypeFusion,slope,aspect,LAI,blue,green,red,nir,nirb,re1,re2,re3,swir1,swir2,EVI,SAVI,GNDVI,ARVI,CHLRE,MCARI,NDII,MIRNIR,MNDVI,NDVI,VHMean_May,VVMean_May,VVVH,TWI,blue_0,green_0,red_0,nir_0,nirb_0,re1_0,re2_0,re3_0,swir1_0,swir2_0,blue_1,green_1,red_1,nir_1,nirb_1,re1_1,re2_1,re3_1,swir1_1,swir2_1,blue_2,green_2,red_2,nir_2,nirb_2,re1_2,re2_2,re3_2,swir1_2,swir2_2,blue_3,green_3,red_3,nir_3,nirb_3,re1_3,re2_3,re3_3,swir1_3,swir2_3,blue_4,green_4,red_4,nir_4,nirb_4,re1_4,re2_4,re3_4,swir1_4,swir2_4,blue_5,green_5,red_5,nir_5,nirb_5,re1_5,re2_5,re3_5,swir1_5,swir2_5,blue_6,green_6,red_6,nir_6,nirb_6,re1_6,re2_6,re3_6,swir1_6,swir2_6,blue_7,green_7,red_7,nir_7,nirb_7,re1_7,re2_7,re3_7,swir1_7,swir2_7,blue_8,green_8,red_8,nir_8,nirb_8,re1_8,re2_8,re3_8,swir1_8,swir2_8,blue_9,green_9,red_9,nir_9,nirb_9,re1_9,re2_9,re3_9,swir1_9,swir2_9,blue_10,green_10,red_10,nir_10,nirb_10,re1_10,re2_10,re3_10,swir1_10,swir2_10,blue_11,green_11,red_11,nir_11,nirb_11,re1_11,re2_11,re3_11,swir1_11,swir2_11,blue_12,green_12,red_12,nir_12,nirb_12,re1_12,re2_12,re3_12,swir1_12,swir2_12,blue_13,green_13,red_13,nir_13,nirb_13,re1_13,re2_13,re3_13,swir1_13,swir2_13,blue_14,green_14,red_14,nir_14,nirb_14,re1_14,re2_14,re3_14,swir1_14,swir2_14,blue_15,green_15,red_15,nir_15,nirb_15,re1_15,re2_15,re3_15,swir1_15,swir2_15,S2Q
0,2017,AEG01,012017ALB,ALB,525313,5360594,14.0,33.0,13.38,153.25,-0.040468802,-0.263574278,30.0,2.446069655,0.8717149,7.79513757,0.719178977,0.335362025,0.536352875,2.188420334,0.854195596,5.222568006,0.829243196,2.05,Rendzina,2.85,103.0023,2.079508066,345.0,708.0,434.0,4232.0,4098.0,1159.0,3351.0,3967.0,1976.0,950.0,2.164910197,1.10039763,0.651145602,0.802348411,3.651423641,-3074.611982,0.258119016,-0.558242269,0.61358552,0.813973425,-18.91722237,-15.62866091,0.1,8.241892,484.0,818.0,659.0,3581.0,3618.0,1310.0,2933.0,3374.0,2332.0,1282.0,471.0,813.0,639.0,3665.0,3713.0,1312.0,3000.0,3460.0,2308.0,1253.0,417.0,776.0,547.0,4015.0,3893.0,1282.0,3224.0,3754.0,2179.0,1105.0,345.0,708.0,434.0,4232.0,4098.0,1159.0,3351.0,3967.0,1976.0,950.0,354.0,714.0,458.0,4411.0,4283.0,1171.0,3411.0,4100.0,2082.0,1019.0,519.0,901.0,762.0,4298.0,4085.0,1505.0,3285.0,3867.0,2784.0,1496.0,614.0,1009.0,1004.0,4105.0,3878.0,1712.0,3124.0,3631.0,3213.0,1809.0,484.0,892.0,738.0,4280.0,4108.0,1450.0,3369.0,3913.0,2731.0,1448.0,376.0,808.0,464.0,4795.0,4672.0,1265.0,3804.0,4480.0,2310.0,1080.0,352.0,784.0,398.0,5073.0,4970.0,1218.0,3993.0,4774.0,2139.0,959.0,328.0,763.0,331.0,5301.0,5186.0,1179.0,4141.0,5000.0,2003.0,857.0,336.0,769.0,338.0,5236.0,5087.0,1191.0,4094.0,4928.0,1994.0,854.0,340.0,791.0,351.0,5073.0,4934.0,1234.0,4039.0,4790.0,2039.0,877.0,358.0,838.0,393.0,4760.0,4630.0,1330.0,3890.0,4477.0,2124.0,940.0,363.0,848.0,409.0,4594.0,4452.0,1361.0,3807.0,4313.0,2139.0,957.0,366.0,845.0,418.0,4564.0,4418.0,1368.0,3778.0,4277.0,2138.0,955.0,0.656078419177839
1,2017,AEG02,022017ALB,ALB,535010,5358415,12.0,21.0,18.75,164.75,-0.471918891,-0.540707775,20.0,1.970590233,0.806083818,5.156867209,0.65779918,0.236153628,0.56993019,1.873541098,0.798190175,3.340258537,0.753968403,3.7,Rendzina,6.18,107.4653,3.334102392,294.0,636.0,333.0,4735.0,4675.0,1010.0,3523.0,4434.0,1782.0,786.0,2.404280977,1.18122781,0.694157249,0.860168226,4.688118812,-7254.915916,0.328180961,-0.635182177,0.698850575,0.868587214,-19.68715109,-14.10755444,0.17,7.422341,341.0,637.0,368.0,4301.0,4199.0,1025.0,3236.0,3970.0,2033.0,921.0,331.0,637.0,365.0,4385.0,4286.0,1025.0,3281.0,4042.0,2022.0,912.0,308.0,650.0,354.0,4600.0,4529.0,1037.0,3460.0,4294.0,1868.0,830.0,294.0,636.0,333.0,4735.0,4675.0,1010.0,3523.0,4434.0,1782.0,786.0,326.0,663.0,404.0,4543.0,4467.0,1068.0,3382.0,4228.0,2081.0,971.0,375.0,740.0,508.0,4276.0,4110.0,1181.0,3247.0,3929.0,2469.0,1199.0,391.0,750.0,560.0,4114.0,3939.0,1230.0,3133.0,3773.0,2624.0,1302.0,382.0,717.0,545.0,3883.0,3727.0,1170.0,2916.0,3524.0,2527.0,1272.0,401.0,735.0,590.0,3692.0,3585.0,1165.0,2728.0,3327.0,2521.0,1324.0,353.0,714.0,440.0,4702.0,4652.0,1116.0,3477.0,4366.0,2234.0,1074.0,330.0,708.0,353.0,5372.0,5340.0,1089.0,3951.0,5057.0,2054.0,925.0,345.0,719.0,395.0,5130.0,5078.0,1121.0,3779.0,4793.0,2083.0,971.0,411.0,761.0,571.0,3949.0,3867.0,1218.0,2928.0,3539.0,2247.0,1175.0,418.0,767.0,612.0,3585.0,3474.0,1256.0,2707.0,3195.0,2233.0,1178.0,334.0,693.0,419.0,3964.0,3906.0,1157.0,3095.0,3658.0,1991.0,931.0,327.0,687.0,404.0,3988.0,3931.0,1152.0,3123.0,3695.0,1968.0,915.0,0.3597945779561996
2,2017,AEG03,032017ALB,ALB,539398,5370311,18.0,35.0,4.53,66.6,0.227250292,-0.186543653,32.0,2.728448702,0.902033959,10.2076188,0.787263882,0.224467395,0.677566564,2.540621046,0.89183432,8.238251073,0.878994558,1.42,Rendzina,3.15,26.6951,1.53525126,373.0,759.0,508.0,3954.0,3769.0,1294.0,3158.0,3617.0,2127.0,1013.0,1.943100161,1.032121727,0.612458514,0.752839548,3.055641422,-1527.633858,0.195080416,-0.514265164,0.562419006,0.772299417,-19.84531514,-14.02274614,0.17,8.07959,516.0,828.0,707.0,3478.0,3287.0,1316.0,2790.0,3190.0,2357.0,1252.0,493.0,821.0,675.0,3578.0,3386.0,1324.0,2874.0,3287.0,2333.0,1224.0,459.0,840.0,622.0,3868.0,3668.0,1389.0,3122.0,3535.0,2278.0,1151.0,373.0,759.0,508.0,3954.0,3769.0,1294.0,3158.0,3617.0,2127.0,1013.0,320.0,692.0,435.0,4056.0,3863.0,1203.0,3179.0,3700.0,2042.0,936.0,301.0,669.0,424.0,4107.0,3913.0,1179.0,3166.0,3735.0,2072.0,943.0,344.0,707.0,516.0,3983.0,3772.0,1249.0,3037.0,3569.0,2327.0,1111.0,373.0,740.0,544.0,3953.0,3774.0,1269.0,3052.0,3556.0,2387.0,1145.0,332.0,701.0,432.0,4113.0,3978.0,1157.0,3224.0,3765.0,2117.0,958.0,311.0,675.0,382.0,4132.0,4011.0,1118.0,3216.0,3813.0,1996.0,889.0,288.0,650.0,338.0,4152.0,4014.0,1073.0,3230.0,3809.0,1891.0,818.0,291.0,648.0,347.0,4095.0,3920.0,1074.0,3167.0,3725.0,1910.0,840.0,304.0,655.0,385.0,3753.0,3545.0,1095.0,2877.0,3348.0,1990.0,930.0,333.0,669.0,437.0,3475.0,3274.0,1124.0,2661.0,3071.0,2060.0,1003.0,348.0,680.0,490.0,3277.0,3083.0,1151.0,2546.0,2924.0,2048.0,1003.0,355.0,684.0,506.0,3242.0,3053.0,1157.0,2526.0,2891.0,2050.0,1009.0,0.4854607528448105
3,2017,AEG04,042017ALB,ALB,531016,5359610,14.0,22.0,19.75,189.5,-0.524964258,-0.198469864,19.0,2.1391491,0.82101848,5.587168988,0.726504816,0.244305907,0.576712572,2.065647946,0.815018135,4.411236599,0.782721892,1.92,Rendzina,10.58,72.78669,3.183813572,314.0,681.0,381.0,5186.0,4972.0,1146.0,3815.0,4794.0,2133.0,962.0,2.291166266,1.168553827,0.697064057,0.852551269,4.52530541,-7459.005249,0.282784129,-0.597236759,0.665740097,0.863121969,-20.81594067,-15.65995512,0.14,9.247495,432.0,714.0,653.0,3359.0,3097.0,1179.0,2457.0,2921.0,2705.0,1461.0,419.0,715.0,626.0,3622.0,3375.0,1185.0,2653.0,3185.0,2660.0,1407.0,355.0,698.0,470.0,4643.0,4419.0,1180.0,3442.0,4239.0,2325.0,1114.0,314.0,681.0,381.0,5186.0,4972.0,1146.0,3815.0,4794.0,2133.0,962.0,354.0,736.0,465.0,5273.0,5093.0,1228.0,3875.0,4858.0,2344.0,1102.0,519.0,952.0,763.0,5079.0,4787.0,1592.0,3699.0,4527.0,3065.0,1582.0,600.0,1025.0,994.0,4692.0,4422.0,1721.0,3439.0,4110.0,3374.0,1804.0,479.0,897.0,749.0,4774.0,4559.0,1478.0,3603.0,4347.0,2931.0,1476.0,373.0,800.0,474.0,5206.0,5067.0,1286.0,3968.0,4868.0,2529.0,1162.0,384.0,822.0,459.0,5317.0,5166.0,1315.0,4011.0,4918.0,2480.0,1145.0,392.0,838.0,443.0,5326.0,5161.0,1344.0,4009.0,4871.0,2450.0,1120.0,400.0,834.0,469.0,5060.0,4847.0,1353.0,3804.0,4595.0,2432.0,1128.0,373.0,800.0,473.0,4515.0,4377.0,1301.0,3467.0,4108.0,2332.0,1113.0,358.0,774.0,465.0,4202.0,4055.0,1264.0,3263.0,3825.0,2257.0,1100.0,345.0,754.0,444.0,4094.0,3991.0,1236.0,3226.0,3746.0,2241.0,1075.0,346.0,753.0,443.0,4101.0,3999.0,1239.0,3231.0,3760.0,2238.0,1077.0,0.8027871003746987
4,2017,AEG05,052017ALB,ALB,532511,5359895,17.0,20.0,15.25,195.25,-0.392219692,-0.400052259,20.0,2.28499689,0.8334714,6.004974511,0.762750701,0.233960343,0.599511057,2.253164604,0.831112037,5.939532512,0.795268245,1.92,Rendzina,2.79,274.7113,3.071192741,321.0,684.0,376.0,5056.0,4871.0,1130.0,3768.0,4696.0,1991.0,883.0,2.344160332,1.168744155,0.692722372,0.851564397,4.474336283,-7077.889362,0.308560514,-0.62029671,0.683455816,0.861561119,-19.80523722,-14.1102665,0.17,8.250583,431.0,759.0,530.0,4361.0,4192.0,1221.0,3332.0,3994.0,2300.0,1089.0,414.0,748.0,508.0,4503.0,4323.0,1213.0,3418.0,4140.0,2256.0,1059.0,353.0,712.0,426.0,4867.0,4681.0,1176.0,3651.0,4494.0,2083.0,946.0,321.0,684.0,376.0,5056.0,4871.0,1130.0,3768.0,4696.0,1991.0,883.0,370.0,733.0,483.0,5146.0,4953.0,1204.0,3789.0,4757.0,2213.0,1039.0,618.0,998.0,948.0,4705.0,4440.0,1653.0,3434.0,4171.0,3185.0,1710.0,784.0,1181.0,1396.0,4233.0,3938.0,2001.0,3105.0,3637.0,3865.0,2206.0,747.0,1152.0,1365.0,4079.0,3840.0,1937.0,3072.0,3548.0,3676.0,2102.0,641.0,1070.0,1017.0,4650.0,4391.0,1758.0,3492.0,4164.0,3212.0,1738.0,553.0,996.0,687.0,5229.0,5011.0,1568.0,3909.0,4827.0,2696.0,1315.0,520.0,946.0,549.0,5321.0,5145.0,1488.0,3971.0,4854.0,2474.0,1145.0,488.0,912.0,538.0,5067.0,4849.0,1448.0,3800.0,4574.0,2400.0,1125.0,396.0,799.0,456.0,4622.0,4441.0,1281.0,3554.0,4196.0,2202.0,1022.0,364.0,762.0,407.0,4668.0,4531.0,1239.0,3605.0,4315.0,2173.0,991.0,317.0,708.0,319.0,4994.0,4821.0,1163.0,3881.0,4644.0,2093.0,913.0,317.0,708.0,324.0,4997.0,4810.0,1166.0,3875.0,4636.0,2086.0,908.0,0.7897171670198441
5,2017,AEG06,062017ALB,ALB,532691,5358196,15.0,29.0,17.63,183.8,-0.243007898,-0.193358339,28.0,2.191743345,0.80854857,5.223256875,0.657745747,0.201905943,0.606642627,2.019536854,0.793469388,4.788868939,0.745753108,1.89,Rendzina,7.22,163.7546,2.905879259,282.0,609.0,319.0,4890.0,4708.0,1035.0,3542.0,4470.0,1963.0,852.0,2.410981448,1.191902063,0.706576728,0.86666884,4.724637681,-8553.821317,0.286830154,-0.612198452,0.679819617,0.877519677,-21.38275187,-16.96523126,0.12,9.12032,345.0,634.0,394.0,4207.0,4043.0,1027.0,3153.0,3851.0,2110.0,965.0,342.0,634.0,391.0,4321.0,4145.0,1034.0,3214.0,3942.0,2121.0,961.0,310.0,627.0,359.0,4676.0,4491.0,1055.0,3417.0,4262.0,2047.0,905.0,282.0,609.0,319.0,4890.0,4708.0,1035.0,3542.0,4470.0,1963.0,852.0,321.0,650.0,417.0,4924.0,4730.0,1106.0,3543.0,4492.0,2141.0,989.0,544.0,896.0,821.0,4496.0,4233.0,1514.0,3238.0,3960.0,2994.0,1567.0,663.0,1038.0,1163.0,4064.0,3775.0,1775.0,2956.0,3502.0,3501.0,1946.0,528.0,891.0,894.0,3932.0,3711.0,1499.0,2961.0,3510.0,3016.0,1605.0,406.0,755.0,575.0,4145.0,3950.0,1232.0,3129.0,3773.0,2510.0,1210.0,391.0,733.0,519.0,3967.0,3823.0,1186.0,2997.0,3576.0,2378.0,1129.0,366.0,702.0,442.0,4016.0,3889.0,1116.0,3034.0,3636.0,2177.0,1004.0,342.0,678.0,392.0,4137.0,4015.0,1079.0,3135.0,3759.0,2096.0,943.0,282.0,626.0,309.0,4356.0,4196.0,1017.0,3257.0,3949.0,1948.0,854.0,265.0,605.0,294.0,4316.0,4126.0,1012.0,3212.0,3891.0,1910.0,853.0,268.0,608.0,320.0,4049.0,3838.0,1058.0,3001.0,3602.0,1992.0,892.0,276.0,619.0,339.0,3993.0,3776.0,1077.0,2955.0,3537.0,1993.0,903.0,0.7347704181075096
6,2017,AEG07,072017ALB,ALB,527898,5370556,18.0,44.0,6.38,57.5,2.239774481,0.21609001,31.0,2.766697134,0.920979717,12.65497872,0.805680676,0.231737933,0.689241784,2.682932948,0.920438957,9.454689277,0.928231097,0.68,Rendzina,10.23,224.6856,0.809408486,497.0,793.0,765.0,3137.0,2940.0,1350.0,2443.0,2765.0,2569.0,1393.0,1.268713141,0.746840509,0.509888752,0.56305589,2.323703704,449.6135948,-0.025139665,-0.273722628,0.32996633,0.607893388,-20.21757333,-13.55875669,0.2,8.907851,580.0,823.0,910.0,2862.0,2644.0,1366.0,2204.0,2487.0,2726.0,1557.0,562.0,816.0,886.0,2898.0,2679.0,1364.0,2237.0,2528.0,2693.0,1524.0,519.0,786.0,802.0,2934.0,2726.0,1335.0,2288.0,2599.0,2512.0,1398.0,497.0,793.0,765.0,3137.0,2940.0,1350.0,2443.0,2765.0,2569.0,1393.0,472.0,786.0,720.0,3328.0,3151.0,1334.0,2606.0,2956.0,2572.0,1352.0,445.0,772.0,657.0,3514.0,3333.0,1309.0,2740.0,3140.0,2572.0,1300.0,430.0,768.0,642.0,3529.0,3346.0,1301.0,2742.0,3147.0,2606.0,1313.0,428.0,775.0,623.0,3548.0,3368.0,1294.0,2759.0,3173.0,2559.0,1275.0,427.0,795.0,604.0,3667.0,3463.0,1301.0,2843.0,3276.0,2507.0,1229.0,400.0,773.0,527.0,3819.0,3645.0,1249.0,2968.0,3433.0,2355.0,1103.0,385.0,757.0,487.0,3900.0,3721.0,1230.0,3050.0,3529.0,2270.0,1031.0,394.0,752.0,502.0,3837.0,3638.0,1242.0,2996.0,3474.0,2239.0,1032.0,423.0,751.0,557.0,3589.0,3388.0,1274.0,2787.0,3227.0,2192.0,1049.0,431.0,753.0,581.0,3542.0,3308.0,1312.0,2731.0,3160.0,2235.0,1086.0,388.0,714.0,558.0,3377.0,3127.0,1262.0,2553.0,2957.0,2236.0,1104.0,386.0,709.0,562.0,3359.0,3110.0,1267.0,2540.0,2933.0,2251.0,1114.0,1.097893817424774
7,2017,AEG08,082017ALB,ALB,536409,5361079,10.0,43.0,10.25,65.65,0.791932633,0.137797652,35.0,2.018926801,0.715388048,3.513555891,0.567856301,0.182045575,0.533342473,1.51251414,0.642857143,3.192578727,0.656876545,1.19,Rendzina,3.74,13.90447,0.893515676,483.0,813.0,737.0,3558.0,3360.0,1391.0,2771.0,3189.0,2620.0,1345.0,1.423771525,0.827878469,0.546316964,0.621961716,2.557872035,170.6037992,0.028009646,-0.346452867,0.406704896,0.656810244,-21.33570825,-15.30346951,0.16,7.977421,722.0,1038.0,1137.0,3367.0,3174.0,1646.0,2644.0,3005.0,3034.0,1753.0,685.0,1005.0,1086.0,3400.0,3203.0,1615.0,2660.0,3033.0,2990.0,1700.0,564.0,886.0,877.0,3489.0,3289.0,1486.0,2719.0,3114.0,2772.0,1489.0,483.0,813.0,737.0,3558.0,3360.0,1391.0,2771.0,3189.0,2620.0,1345.0,435.0,783.0,681.0,3620.0,3426.0,1342.0,2787.0,3232.0,2582.0,1289.0,463.0,830.0,769.0,3588.0,3371.0,1443.0,2722.0,3153.0,2799.0,1419.0,487.0,848.0,824.0,3567.0,3344.0,1483.0,2692.0,3120.0,2928.0,1499.0,477.0,844.0,745.0,3681.0,3483.0,1417.0,2819.0,3271.0,2786.0,1390.0,450.0,824.0,621.0,3859.0,3678.0,1336.0,2978.0,3476.0,2534.0,1201.0,429.0,814.0,563.0,3899.0,3751.0,1311.0,3033.0,3547.0,2401.0,1114.0,418.0,804.0,533.0,3919.0,3791.0,1289.0,3056.0,3567.0,2317.0,1070.0,419.0,803.0,538.0,3980.0,3845.0,1303.0,3108.0,3610.0,2341.0,1070.0,430.0,801.0,535.0,4202.0,4014.0,1306.0,3256.0,3805.0,2317.0,1070.0,435.0,793.0,547.0,4250.0,4027.0,1319.0,3299.0,3860.0,2325.0,1077.0,453.0,788.0,580.0,4024.0,3776.0,1311.0,3132.0,3650.0,2279.0,1095.0,468.0,804.0,606.0,3999.0,3741.0,1330.0,3113.0,3622.0,2285.0,1107.0,1.970806661844253
8,2017,AEG09,092017ALB,ALB,537218,5360815,14.0,48.0,10.0,96.95,1.973235296,0.235010966,35.0,2.033657661,0.740043934,3.846803871,0.571999598,0.173529838,0.566514096,1.888172531,0.736912453,5.389612574,0.715472343,0.95,Rendzina,13.33,206.4604,0.812593102,586.0,903.0,887.0,3415.0,3286.0,1464.0,2666.0,3038.0,2722.0,1471.0,1.237479132,0.714918664,0.493975904,0.544321303,2.332650273,593.7316798,-0.010393467,-0.288856659,0.347527168,0.587633659,-19.6624425,-13.57010804,0.18,7.96499,744.0,1045.0,1184.0,3109.0,2991.0,1583.0,2423.0,2746.0,2995.0,1771.0,719.0,1026.0,1145.0,3165.0,3044.0,1576.0,2467.0,2791.0,2957.0,1734.0,669.0,984.0,1024.0,3345.0,3230.0,1554.0,2623.0,2967.0,2839.0,1612.0,586.0,903.0,887.0,3415.0,3286.0,1464.0,2666.0,3038.0,2722.0,1471.0,526.0,872.0,801.0,3555.0,3392.0,1415.0,2758.0,3173.0,2678.0,1397.0,497.0,855.0,770.0,3664.0,3468.0,1419.0,2808.0,3257.0,2722.0,1385.0,481.0,848.0,775.0,3754.0,3542.0,1435.0,2845.0,3323.0,2773.0,1390.0,476.0,843.0,713.0,3863.0,3673.0,1391.0,2949.0,3438.0,2672.0,1309.0,451.0,816.0,614.0,4000.0,3814.0,1306.0,3049.0,3597.0,2486.0,1167.0,412.0,784.0,540.0,4031.0,3900.0,1218.0,3090.0,3647.0,2308.0,1059.0,403.0,774.0,515.0,4024.0,3914.0,1194.0,3076.0,3624.0,2259.0,1023.0,414.0,775.0,538.0,3909.0,3803.0,1219.0,2975.0,3486.0,2285.0,1051.0,395.0,741.0,533.0,3711.0,3664.0,1186.0,2862.0,3314.0,2208.0,1016.0,393.0,728.0,538.0,3588.0,3550.0,1172.0,2778.0,3224.0,2200.0,1021.0,393.0,716.0,560.0,3484.0,3428.0,1179.0,2668.0,3097.0,2241.0,1069.0,398.0,719.0,574.0,3481.0,3410.0,1193.0,2652.0,3078.0,2264.0,1092.0,1.201087859869003
9,2017,AEG10,102017ALB,ALB,515743,5358995,16.0,39.0,10.0,165.2,0.908172145,-0.886422107,34.0,2.505403682,0.878370318,8.221677316,0.710478598,0.206674538,0.67169578,2.371169012,0.877647918,6.278557731,0.855218444,1.24,Rendzina,11.13,224.5657,0.896968126,507.0,837.0,764.0,3593.0,3369.0,1408.0,2782.0,3200.0,2766.0,1492.0,1.415345771,0.812565206,0.537441282,0.611863366,2.551846591,236.7727749,0.002883922,-0.301824988,0.36402387,0.649299977,-19.58669565,-12.92802406,0.2,6.503081,638.0,919.0,985.0,3250.0,3040.0,1452.0,2520.0,2887.0,2878.0,1649.0,624.0,909.0,965.0,3320.0,3118.0,1457.0,2569.0,2945.0,2887.0,1635.0,580.0,894.0,871.0,3500.0,3287.0,1466.0,2717.0,3111.0,2837.0,1572.0,507.0,837.0,764.0,3593.0,3369.0,1408.0,2782.0,3200.0,2766.0,1492.0,455.0,811.0,711.0,3721.0,3487.0,1384.0,2849.0,3305.0,2757.0,1464.0,518.0,876.0,878.0,3669.0,3424.0,1516.0,2749.0,3202.0,3115.0,1718.0,566.0,920.0,1027.0,3582.0,3339.0,1615.0,2694.0,3109.0,3328.0,1864.0,537.0,902.0,942.0,3700.0,3475.0,1540.0,2850.0,3284.0,3183.0,1728.0,478.0,858.0,750.0,3962.0,3769.0,1398.0,3087.0,3579.0,2903.0,1476.0,393.0,775.0,537.0,4263.0,4076.0,1240.0,3317.0,3899.0,2457.0,1161.0,336.0,724.0,409.0,4465.0,4323.0,1149.0,3501.0,4162.0,2207.0,969.0,359.0,738.0,441.0,4400.0,4229.0,1181.0,3427.0,4032.0,2271.0,1019.0,453.0,801.0,603.0,3873.0,3675.0,1294.0,3013.0,3479.0,2420.0,1182.0,471.0,817.0,647.0,3785.0,3573.0,1337.0,2936.0,3383.0,2552.0,1273.0,410.0,747.0,585.0,3735.0,3528.0,1266.0,2899.0,3345.0,2557.0,1261.0,410.0,749.0,594.0,3738.0,3539.0,1272.0,2905.0,3347.0,2573.0,1266.0,0.8482177555561066
