Year,ep,yep,explo,x,y,number_vascular_plants,SpecRichness,height_cm,biomass_g,NMDS1,NMDS2,Shannon,Simpson,FisherAlpha,PielouEvenness,LUI_2015_2018,SoilTypeFusion,slope,aspect,S2Q,TWI,blue_0,green_0,red_0,nir_0,nirb_0,re1_0,re2_0,re3_0,swir1_0,swir2_0,blue_1,green_1,red_1,nir_1,nirb_1,re1_1,re2_1,re3_1,swir1_1,swir2_1,blue_2,green_2,red_2,nir_2,nirb_2,re1_2,re2_2,re3_2,swir1_2,swir2_2,blue_3,green_3,red_3,nir_3,nirb_3,re1_3,re2_3,re3_3,swir1_3,swir2_3,blue_4,green_4,red_4,nir_4,nirb_4,re1_4,re2_4,re3_4,swir1_4,swir2_4,blue_5,green_5,red_5,nir_5,nirb_5,re1_5,re2_5,re3_5,swir1_5,swir2_5,blue_6,green_6,red_6,nir_6,nirb_6,re1_6,re2_6,re3_6,swir1_6,swir2_6,blue_7,green_7,red_7,nir_7,nirb_7,re1_7,re2_7,re3_7,swir1_7,swir2_7,blue_8,green_8,red_8,nir_8,nirb_8,re1_8,re2_8,re3_8,swir1_8,swir2_8,blue_9,green_9,red_9,nir_9,nirb_9,re1_9,re2_9,re3_9,swir1_9,swir2_9,blue_10,green_10,red_10,nir_10,nirb_10,re1_10,re2_10,re3_10,swir1_10,swir2_10,blue_11,green_11,red_11,nir_11,nirb_11,re1_11,re2_11,re3_11,swir1_11,swir2_11,blue_12,green_12,red_12,nir_12,nirb_12,re1_12,re2_12,re3_12,swir1_12,swir2_12,blue_13,green_13,red_13,nir_13,nirb_13,re1_13,re2_13,re3_13,swir1_13,swir2_13,blue_14,green_14,red_14,nir_14,nirb_14,re1_14,re2_14,re3_14,swir1_14,swir2_14,blue_15,green_15,red_15,nir_15,nirb_15,re1_15,re2_15,re3_15,swir1_15,swir2_15
2017,AEG01,012017ALB,ALB,525313,5360594,14,33,13.38,153.25,-0.040468802,-0.263574278,2.188420334,0.854195596,5.222568006,0.829243196,2.05,Rendzina,2.85,103.0023,0.680651164,8.241892,484,818,659,3581,3618,1310,2933,3374,2332,1282,471,813,639,3665,3713,1312,3000,3460,2308,1253,417,776,547,4015,3893,1282,3224,3754,2179,1105,345,708,434,4232,4098,1159,3351,3967,1976,950,354,714,458,4411,4283,1171,3411,4100,2082,1019,519,901,762,4298,4085,1505,3285,3867,2784,1496,614,1009,1004,4105,3878,1712,3124,3631,3213,1809,484,892,738,4280,4108,1450,3369,3913,2731,1448,376,808,464,4795,4672,1265,3804,4480,2310,1080,352,784,398,5073,4970,1218,3993,4774,2139,959,328,763,331,5301,5186,1179,4141,5000,2003,857,336,769,338,5236,5087,1191,4094,4928,1994,854,340,791,351,5073,4934,1234,4039,4790,2039,877,358,838,393,4760,4630,1330,3890,4477,2124,940,363,848,409,4594,4452,1361,3807,4313,2139,957,366,845,418,4564,4418,1368,3778,4277,2138,955
2017,AEG02,022017ALB,ALB,535010,5358415,12,21,18.75,164.75,-0.471918891,-0.540707775,1.873541098,0.798190175,3.340258537,0.753968403,3.7,Rendzina,6.18,107.4653,0.97699439,7.422341,341,637,368,4301,4199,1025,3236,3970,2033,921,331,637,365,4385,4286,1025,3281,4042,2022,912,308,650,354,4600,4529,1037,3460,4294,1868,830,294,636,333,4735,4675,1010,3523,4434,1782,786,326,663,404,4543,4467,1068,3382,4228,2081,971,375,740,508,4276,4110,1181,3247,3929,2469,1199,391,750,560,4114,3939,1230,3133,3773,2624,1302,382,717,545,3883,3727,1170,2916,3524,2527,1272,401,735,590,3692,3585,1165,2728,3327,2521,1324,353,714,440,4702,4652,1116,3477,4366,2234,1074,330,708,353,5372,5340,1089,3951,5057,2054,925,345,719,395,5130,5078,1121,3779,4793,2083,971,411,761,571,3949,3867,1218,2928,3539,2247,1175,418,767,612,3585,3474,1256,2707,3195,2233,1178,334,693,419,3964,3906,1157,3095,3658,1991,931,327,687,404,3988,3931,1152,3123,3695,1968,915
2017,AEG03,032017ALB,ALB,539398,5370311,18,35,4.53,66.6,0.227250292,-0.186543653,2.540621046,0.89183432,8.238251073,0.878994558,1.42,Rendzina,3.15,26.6951,0.677908816,8.07959,516,828,707,3478,3287,1316,2790,3190,2357,1252,493,821,675,3578,3386,1324,2874,3287,2333,1224,459,840,622,3868,3668,1389,3122,3535,2278,1151,373,759,508,3954,3769,1294,3158,3617,2127,1013,320,692,435,4056,3863,1203,3179,3700,2042,936,301,669,424,4107,3913,1179,3166,3735,2072,943,344,707,516,3983,3772,1249,3037,3569,2327,1111,373,740,544,3953,3774,1269,3052,3556,2387,1145,332,701,432,4113,3978,1157,3224,3765,2117,958,311,675,382,4132,4011,1118,3216,3813,1996,889,288,650,338,4152,4014,1073,3230,3809,1891,818,291,648,347,4095,3920,1074,3167,3725,1910,840,304,655,385,3753,3545,1095,2877,3348,1990,930,333,669,437,3475,3274,1124,2661,3071,2060,1003,348,680,490,3277,3083,1151,2546,2924,2048,1003,355,684,506,3242,3053,1157,2526,2891,2050,1009
2017,AEG04,042017ALB,ALB,531016,5359610,14,22,19.75,189.5,-0.524964258,-0.198469864,2.065647946,0.815018135,4.411236599,0.782721892,1.92,Rendzina,10.58,72.78669,0.700765227,9.247495,432,714,653,3359,3097,1179,2457,2921,2705,1461,419,715,626,3622,3375,1185,2653,3185,2660,1407,355,698,470,4643,4419,1180,3442,4239,2325,1114,314,681,381,5186,4972,1146,3815,4794,2133,962,354,736,465,5273,5093,1228,3875,4858,2344,1102,519,952,763,5079,4787,1592,3699,4527,3065,1582,600,1025,994,4692,4422,1721,3439,4110,3374,1804,479,897,749,4774,4559,1478,3603,4347,2931,1476,373,800,474,5206,5067,1286,3968,4868,2529,1162,384,822,459,5317,5166,1315,4011,4918,2480,1145,392,838,443,5326,5161,1344,4009,4871,2450,1120,400,834,469,5060,4847,1353,3804,4595,2432,1128,373,800,473,4515,4377,1301,3467,4108,2332,1113,358,774,465,4202,4055,1264,3263,3825,2257,1100,345,754,444,4094,3991,1236,3226,3746,2241,1075,346,753,443,4101,3999,1239,3231,3760,2238,1077
2017,AEG05,052017ALB,ALB,532511,5359895,17,20,15.25,195.25,-0.392219692,-0.400052259,2.253164604,0.831112037,5.939532512,0.795268245,1.92,Rendzina,2.79,274.7113,0.724975646,8.250583,431,759,530,4361,4192,1221,3332,3994,2300,1089,414,748,508,4503,4323,1213,3418,4140,2256,1059,353,712,426,4867,4681,1176,3651,4494,2083,946,321,684,376,5056,4871,1130,3768,4696,1991,883,370,733,483,5146,4953,1204,3789,4757,2213,1039,618,998,948,4705,4440,1653,3434,4171,3185,1710,784,1181,1396,4233,3938,2001,3105,3637,3865,2206,747,1152,1365,4079,3840,1937,3072,3548,3676,2102,641,1070,1017,4650,4391,1758,3492,4164,3212,1738,553,996,687,5229,5011,1568,3909,4827,2696,1315,520,946,549,5321,5145,1488,3971,4854,2474,1145,488,912,538,5067,4849,1448,3800,4574,2400,1125,396,799,456,4622,4441,1281,3554,4196,2202,1022,364,762,407,4668,4531,1239,3605,4315,2173,991,317,708,319,4994,4821,1163,3881,4644,2093,913,317,708,324,4997,4810,1166,3875,4636,2086,908
2017,AEG06,062017ALB,ALB,532691,5358196,15,29,17.63,183.8,-0.243007898,-0.193358339,2.019536854,0.793469388,4.788868939,0.745753108,1.89,Rendzina,7.22,163.7546,0.619684824,9.12032,345,634,394,4207,4043,1027,3153,3851,2110,965,342,634,391,4321,4145,1034,3214,3942,2121,961,310,627,359,4676,4491,1055,3417,4262,2047,905,282,609,319,4890,4708,1035,3542,4470,1963,852,321,650,417,4924,4730,1106,3543,4492,2141,989,544,896,821,4496,4233,1514,3238,3960,2994,1567,663,1038,1163,4064,3775,1775,2956,3502,3501,1946,528,891,894,3932,3711,1499,2961,3510,3016,1605,406,755,575,4145,3950,1232,3129,3773,2510,1210,391,733,519,3967,3823,1186,2997,3576,2378,1129,366,702,442,4016,3889,1116,3034,3636,2177,1004,342,678,392,4137,4015,1079,3135,3759,2096,943,282,626,309,4356,4196,1017,3257,3949,1948,854,265,605,294,4316,4126,1012,3212,3891,1910,853,268,608,320,4049,3838,1058,3001,3602,1992,892,276,619,339,3993,3776,1077,2955,3537,1993,903
2017,AEG07,072017ALB,ALB,527898,5370556,18,44,6.38,57.5,2.239774481,0.21609001,2.682932948,0.920438957,9.454689277,0.928231097,0.68,Rendzina,10.23,224.6856,0.577199941,8.907851,580,823,910,2862,2644,1366,2204,2487,2726,1557,562,816,886,2898,2679,1364,2237,2528,2693,1524,519,786,802,2934,2726,1335,2288,2599,2512,1398,497,793,765,3137,2940,1350,2443,2765,2569,1393,472,786,720,3328,3151,1334,2606,2956,2572,1352,445,772,657,3514,3333,1309,2740,3140,2572,1300,430,768,642,3529,3346,1301,2742,3147,2606,1313,428,775,623,3548,3368,1294,2759,3173,2559,1275,427,795,604,3667,3463,1301,2843,3276,2507,1229,400,773,527,3819,3645,1249,2968,3433,2355,1103,385,757,487,3900,3721,1230,3050,3529,2270,1031,394,752,502,3837,3638,1242,2996,3474,2239,1032,423,751,557,3589,3388,1274,2787,3227,2192,1049,431,753,581,3542,3308,1312,2731,3160,2235,1086,388,714,558,3377,3127,1262,2553,2957,2236,1104,386,709,562,3359,3110,1267,2540,2933,2251,1114
2017,AEG08,082017ALB,ALB,536409,5361079,10,43,10.25,65.65,0.791932633,0.137797652,1.51251414,0.642857143,3.192578727,0.656876545,1.19,Rendzina,3.74,13.90447,0.294641441,7.977421,722,1038,1137,3367,3174,1646,2644,3005,3034,1753,685,1005,1086,3400,3203,1615,2660,3033,2990,1700,564,886,877,3489,3289,1486,2719,3114,2772,1489,483,813,737,3558,3360,1391,2771,3189,2620,1345,435,783,681,3620,3426,1342,2787,3232,2582,1289,463,830,769,3588,3371,1443,2722,3153,2799,1419,487,848,824,3567,3344,1483,2692,3120,2928,1499,477,844,745,3681,3483,1417,2819,3271,2786,1390,450,824,621,3859,3678,1336,2978,3476,2534,1201,429,814,563,3899,3751,1311,3033,3547,2401,1114,418,804,533,3919,3791,1289,3056,3567,2317,1070,419,803,538,3980,3845,1303,3108,3610,2341,1070,430,801,535,4202,4014,1306,3256,3805,2317,1070,435,793,547,4250,4027,1319,3299,3860,2325,1077,453,788,580,4024,3776,1311,3132,3650,2279,1095,468,804,606,3999,3741,1330,3113,3622,2285,1107
2017,AEG09,092017ALB,ALB,537218,5360815,14,48,10,96.95,1.973235296,0.235010966,1.888172531,0.736912453,5.389612574,0.715472343,0.95,Rendzina,13.33,206.4604,0.917015622,7.96499,744,1045,1184,3109,2991,1583,2423,2746,2995,1771,719,1026,1145,3165,3044,1576,2467,2791,2957,1734,669,984,1024,3345,3230,1554,2623,2967,2839,1612,586,903,887,3415,3286,1464,2666,3038,2722,1471,526,872,801,3555,3392,1415,2758,3173,2678,1397,497,855,770,3664,3468,1419,2808,3257,2722,1385,481,848,775,3754,3542,1435,2845,3323,2773,1390,476,843,713,3863,3673,1391,2949,3438,2672,1309,451,816,614,4000,3814,1306,3049,3597,2486,1167,412,784,540,4031,3900,1218,3090,3647,2308,1059,403,774,515,4024,3914,1194,3076,3624,2259,1023,414,775,538,3909,3803,1219,2975,3486,2285,1051,395,741,533,3711,3664,1186,2862,3314,2208,1016,393,728,538,3588,3550,1172,2778,3224,2200,1021,393,716,560,3484,3428,1179,2668,3097,2241,1069,398,719,574,3481,3410,1193,2652,3078,2264,1092
2017,AEG10,102017ALB,ALB,515743,5358995,16,39,10,165.2,0.908172145,-0.886422107,2.371169012,0.877647918,6.278557731,0.855218444,1.24,Rendzina,11.13,224.5657,0.608221698,6.503081,638,919,985,3250,3040,1452,2520,2887,2878,1649,624,909,965,3320,3118,1457,2569,2945,2887,1635,580,894,871,3500,3287,1466,2717,3111,2837,1572,507,837,764,3593,3369,1408,2782,3200,2766,1492,455,811,711,3721,3487,1384,2849,3305,2757,1464,518,876,878,3669,3424,1516,2749,3202,3115,1718,566,920,1027,3582,3339,1615,2694,3109,3328,1864,537,902,942,3700,3475,1540,2850,3284,3183,1728,478,858,750,3962,3769,1398,3087,3579,2903,1476,393,775,537,4263,4076,1240,3317,3899,2457,1161,336,724,409,4465,4323,1149,3501,4162,2207,969,359,738,441,4400,4229,1181,3427,4032,2271,1019,453,801,603,3873,3675,1294,3013,3479,2420,1182,471,817,647,3785,3573,1337,2936,3383,2552,1273,410,747,585,3735,3528,1266,2899,3345,2557,1261,410,749,594,3738,3539,1272,2905,3347,2573,1266
