,ep,explo,year,biomass_g,blue,green,red,nir,nirb,re1,re2,re3,swir1,swir2
0,AEG01,ALB,2020,142.5,360.0,679.0,456.0,3967.0,3849.0,1046.0,3088.0,3638.0,1834.0,867.0
1,AEG02,ALB,2020,311.0,338.0,611.5,395.0,4608.5,4449.0,945.5,3236.0,4176.0,1752.0,776.5
2,AEG03,ALB,2020,89.0,405.0,743.0,551.5,3813.0,3725.0,1208.5,2986.5,3470.0,1990.5,982.5
3,AEG04,ALB,2020,113.5,316.0,637.0,370.5,4873.5,4746.0,1031.0,3510.0,4435.5,1885.0,852.0
4,AEG05,ALB,2020,94.5,353.0,645.0,434.0,4204.0,4026.0,1037.0,3107.0,3785.0,1963.0,906.0
5,AEG06,ALB,2020,104.0,322.0,585.0,401.0,3876.0,3725.0,948.0,2819.0,3489.0,1881.0,902.0
6,AEG07,ALB,2020,16.5,598.0,879.5,918.5,3437.0,3151.5,1508.0,2633.0,2994.0,2917.0,1628.5
7,AEG08,ALB,2020,15.0,618.5,961.0,930.0,3838.5,3633.5,1581.0,2996.5,3414.5,2778.5,1450.0
8,AEG09,ALB,2020,41.0,655.0,961.0,993.0,3439.0,3222.0,1545.0,2667.0,3002.0,2909.0,1633.0
9,AEG10,ALB,2020,44.5,571.5,899.5,907.0,3741.5,3555.5,1479.5,2851.5,3266.5,2759.0,1473.5
10,AEG11,ALB,2020,165.0,277.0,592.0,322.0,4489.0,4374.0,921.0,3302.0,4129.0,1660.0,719.0
11,AEG12,ALB,2020,101.5,389.0,681.0,539.0,3454.0,3360.0,1056.0,2642.0,3107.0,2067.0,1089.0
12,AEG13,ALB,2020,257.5,379.0,659.0,487.0,3994.0,3787.0,1048.0,2929.0,3567.0,2123.0,1051.0
13,AEG14,ALB,2020,128.0,395.5,746.0,522.0,4465.5,4238.5,1191.0,3393.0,4067.0,2032.0,957.0
