"";"unique_id";"timestep";"explrtr";"Useful_PlotID";"Qnum";"month";"year";"date_releves";"HHLAI";"Biomass_g_per60cm2";"Biomass_interpolated";"RPMcalc_cm";"Biomass_g_per_m2";"Biomass_interpolated_per_m2";"LAI_corr";"biomass_corr";"biomass_interpolated_corr";"RPM_corr";"LAI";"biomass";"biomass_interpolated";"RPM";"mosaic";"var2_mosaic";"b1_mean_round";"b2_mean_round";"b3_mean_round";"b4_mean_round";"var2_b1_mean_round";"var2_b2_mean_round";"var2_b3_mean_round";"var2_b4_mean_round";"blue";"green";"red";"nir";"ndvi";"evi2";"evi";"savi";"dvi";"gndvi";"grvi";"sr_nirr";"var2_blue";"var2_green";"var2_red";"var2_nir";"var2_ndvi";"var2_evi2";"var2_evi";"var2_savi";"var2_dvi";"var2_gndvi";"var2_grvi";"var2_sr_nirr"
"1";"AEG01_01_J_2020";"A_J_2020";"ALB";"AEG01";"AEG01_01";"J";2020;"17.06.2020";4.84;NA;123.21894;35.8;NA;342.274833333333;4.84;NA;342.274833333333;35.8;4.84;NA;342.274833333333;35.8;"ALB_2020_06_XX";"";134;519;313;4689;NA;NA;NA;NA;0.0134;0.0519;0.0313;0.4689;0.87485005997601;0.708540044818072;0.702994473718031;0.65626874625075;0.438565292;0.800691244239631;1.65814696485623;14.9808306709265;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"2";"AEG01_01_S_2020";"A_S_2020";"ALB";"AEG01";"AEG01_01";"S";2020;"07.09.2020";1.5;NA;42.70046;12.2;NA;118.612388888889;1.5;NA;118.612388888889;12.2;1.5;NA;118.612388888889;12.2;"ALB_2020_09_13";"ALB_2020_08_21";187;516;308;3863;251;679;577;3325;0.0187;0.0516;0.0308;0.3863;0.852313593862383;0.60864116366027;0.621134290806164;0.581452404317959;0.356449872;0.764329755651975;1.67532467532468;12.5422077922078;0.0251;0.0679;0.0577;0.3325;0.704254228600718;0.46703558172103;0.460934617061961;0.46304201303078;0.276579468;0.660839160839161;1.17677642980936;5.76256499133449
"3";"AEG01_01_S_2021";"A_S_2021";"ALB";"AEG01";"AEG01_01";"S";2021;"20.09.2021";2.59;NA;55.7539;11;NA;154.871944444444;2.59;NA;154.871944444444;11;2.59;NA;154.871944444444;11;"ALB_2021_09_23";"";214;617;476;3574;NA;NA;NA;NA;0.0214;0.0617;0.0476;0.3574;0.764938271604938;0.526283601967873;0.522428330522765;0.513480662983425;0.311267984;0.705559532331186;1.29621848739496;7.50840336134454;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"4";"AEG01_02_J_2020";"A_J_2020";"ALB";"AEG01";"AEG01_02";"J";2020;"17.06.2020";3.8;109.41;109.41;42.2;303.916666666667;303.916666666667;3.8;303.916666666667;303.916666666667;42.2;3.8;303.916666666667;303.916666666667;42.2;"ALB_2020_06_XX";"";146;531;318;4762;NA;NA;NA;NA;0.0146;0.0531;0.0318;0.4762;0.874803149606299;0.715610748975859;0.713322632423756;0.661309523809524;0.445380712;0.799357642168902;1.66981132075472;14.9748427672956;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"5";"AEG01_02_S_2020";"A_S_2020";"ALB";"AEG01";"AEG01_02";"S";2020;"07.09.2020";0.89;NA;28.3709;8;NA;78.8080555555556;0.89;NA;78.8080555555556;8;0.89;NA;78.8080555555556;8;"ALB_2020_09_13";"ALB_2020_08_21";180;549;324;3873;245;700;565;3308;0.018;0.0549;0.0324;0.3873;0.845604002859185;0.605606596316874;0.613292320453446;0.578830053278243;0.355899216;0.751696065128901;1.69444444444444;11.9537037037037;0.0245;0.07;0.0565;0.3308;0.708236509166021;0.467641843971631;0.461458228188823;0.463710131860701;0.27604246;0.650698602794411;1.23893805309735;5.85486725663717
"6";"AEG01_02_S_2021";"A_S_2021";"ALB";"AEG01";"AEG01_02";"S";2021;"20.09.2021";2.37;NA;80.00846;15.4;NA;222.245722222222;2.37;NA;222.245722222222;15.4;2.37;NA;222.245722222222;15.4;"ALB_2021_09_23";"";194;612;473;3660;NA;NA;NA;NA;0.0194;0.0612;0.0473;0.366;0.771110573433341;0.53851924948632;0.529648341421259;0.523431512098982;0.320158732;0.713483146067416;1.2938689217759;7.73784355179704;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"7";"AEG01_03_J_2020";"A_J_2020";"ALB";"AEG01";"AEG01_03";"J";2020;"17.06.2020";4.28;NA;120.4895;35;NA;334.693055555556;4.28;NA;334.693055555556;35;4.28;NA;334.693055555556;35;"ALB_2020_06_XX";"";127;547;326;4791;NA;NA;NA;NA;0.0127;0.0547;0.0326;0.4791;0.872581590775845;0.71676705151091;0.706733356548165;0.662004546802412;0.447505384;0.795054327463469;1.67791411042945;14.6963190184049;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"8";"AEG01_03_S_2020";"A_S_2020";"ALB";"AEG01";"AEG01_03";"S";2020;"07.09.2020";1.28;26.4;26.4;12.6;73.3333333333333;73.3333333333333;1.28;73.3333333333333;73.3333333333333;12.6;1.28;73.3333333333333;73.3333333333333;12.6;"ALB_2020_09_13";"ALB_2020_08_21";188;524;299;3881;219;696;553;3322;0.0188;0.0524;0.0299;0.3881;0.856937799043062;0.613414984998562;0.627760252365931;0.585294117647059;0.359122116;0.762088535754824;1.75250836120401;12.9799331103679;0.0219;0.0696;0.0553;0.3322;0.71458064516129;0.472551402124348;0.461576929488248;0.468;0.278605452;0.653558984569438;1.25858951175407;6.00723327305606
"9";"AEG01_03_S_2021";"A_S_2021";"ALB";"AEG01";"AEG01_03";"S";2021;"20.09.2021";2.55;41.99;41.99;12.6;116.638888888889;116.638888888889;2.55;116.638888888889;116.638888888889;12.6;2.55;116.638888888889;116.638888888889;12.6;"ALB_2021_09_23";"";185;612;478;3573;NA;NA;NA;NA;0.0185;0.0612;0.0478;0.3573;0.764008886694643;0.525638238610888;0.514000066429734;0.512926748425588;0.310974152;0.70752688172043;1.28033472803347;7.47489539748954;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"10";"AEG01_04_J_2020";"A_J_2020";"ALB";"AEG01";"AEG01_04";"J";2020;"17.06.2020";5.21;NA;1.0765;NA;NA;2.99027777777778;5.21;NA;NA;NA;5.21;NA;NA;NA;"ALB_2020_06_XX";"";136;521;325;4691;NA;NA;NA;NA;0.0136;0.0521;0.0325;0.4691;0.870414673046252;0.705513541464676;0.698738877152551;0.653853833865815;0.4376023;0.800076745970837;1.60307692307692;14.4338461538462;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
