unique_id,timestep,explrtr,Useful_PlotID,Qnum,month,year,date_releves,HHLAI,Biomass_g_per60cm2,Biomass_interpolated,RPMcalc_cm,Biomass_g_per_m2,Biomass_interpolated_per_m2,LAI_corr,biomass_corr,biomass_interpolated_corr,RPM_corr,LAI,biomass,biomass_interpolated,RPM,mosaic,var2_mosaic,b1_mean_round,b2_mean_round,b3_mean_round,b4_mean_round,var2_b1_mean_round,var2_b2_mean_round,var2_b3_mean_round,var2_b4_mean_round,blue,green,red,nir,ndvi,evi2,evi,savi,dvi,gndvi,grvi,sr_nirr,var2_blue,var2_green,var2_red,var2_nir,var2_ndvi,var2_evi2,var2_evi,var2_savi,var2_dvi,var2_gndvi,var2_grvi,var2_sr_nirr
AEG01_01_J_2020,A_J_2020,ALB,AEG01,AEG01_01,J,2020,17.06.2020,4.84,NA,123.21894,35.8,NA,342.2748333,4.84,NA,342.2748333,35.8,4.84,NA,342.2748333,35.8,ALB_2020_06_XX,,134,519,313,4689,NA,NA,NA,NA,0.0134,0.0519,0.0313,0.4689,0.87485006,0.708540045,0.702994474,0.656268746,0.438565292,0.800691244,1.658146965,14.98083067,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AEG01_01_S_2020,A_S_2020,ALB,AEG01,AEG01_01,S,2020,07.09.2020,1.5,NA,42.70046,12.2,NA,118.6123889,1.5,NA,118.6123889,12.2,1.5,NA,118.6123889,12.2,ALB_2020_09_13,ALB_2020_08_21,187,516,308,3863,251,679,577,3325,0.0187,0.0516,0.0308,0.3863,0.852313594,0.608641164,0.621134291,0.581452404,0.356449872,0.764329756,1.675324675,12.54220779,0.0251,0.0679,0.0577,0.3325,0.704254229,0.467035582,0.460934617,0.463042013,0.276579468,0.660839161,1.17677643,5.762564991
AEG01_01_S_2021,A_S_2021,ALB,AEG01,AEG01_01,S,2021,20.09.2021,2.59,NA,55.7539,11,NA,154.8719444,2.59,NA,154.8719444,11,2.59,NA,154.8719444,11,ALB_2021_09_23,,214,617,476,3574,NA,NA,NA,NA,0.0214,0.0617,0.0476,0.3574,0.764938272,0.526283602,0.522428331,0.513480663,0.311267984,0.705559532,1.296218487,7.508403361,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AEG01_02_J_2020,A_J_2020,ALB,AEG01,AEG01_02,J,2020,17.06.2020,3.8,109.41,109.41,42.2,303.9166667,303.9166667,3.8,303.9166667,303.9166667,42.2,3.8,303.9166667,303.9166667,42.2,ALB_2020_06_XX,,146,531,318,4762,NA,NA,NA,NA,0.0146,0.0531,0.0318,0.4762,0.87480315,0.715610749,0.713322632,0.661309524,0.445380712,0.799357642,1.669811321,14.97484277,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AEG01_02_S_2020,A_S_2020,ALB,AEG01,AEG01_02,S,2020,07.09.2020,0.89,NA,28.3709,8,NA,78.80805556,0.89,NA,78.80805556,8,0.89,NA,78.80805556,8,ALB_2020_09_13,ALB_2020_08_21,180,549,324,3873,245,700,565,3308,0.018,0.0549,0.0324,0.3873,0.845604003,0.605606596,0.61329232,0.578830053,0.355899216,0.751696065,1.694444444,11.9537037,0.0245,0.07,0.0565,0.3308,0.708236509,0.467641844,0.461458228,0.463710132,0.27604246,0.650698603,1.238938053,5.854867257
AEG01_02_S_2021,A_S_2021,ALB,AEG01,AEG01_02,S,2021,20.09.2021,2.37,NA,80.00846,15.4,NA,222.2457222,2.37,NA,222.2457222,15.4,2.37,NA,222.2457222,15.4,ALB_2021_09_23,,194,612,473,3660,NA,NA,NA,NA,0.0194,0.0612,0.0473,0.366,0.771110573,0.538519249,0.529648341,0.523431512,0.320158732,0.713483146,1.293868922,7.737843552,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AEG01_03_J_2020,A_J_2020,ALB,AEG01,AEG01_03,J,2020,17.06.2020,4.28,NA,120.4895,35,NA,334.6930556,4.28,NA,334.6930556,35,4.28,NA,334.6930556,35,ALB_2020_06_XX,,127,547,326,4791,NA,NA,NA,NA,0.0127,0.0547,0.0326,0.4791,0.872581591,0.716767052,0.706733357,0.662004547,0.447505384,0.795054327,1.67791411,14.69631902,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AEG01_03_S_2020,A_S_2020,ALB,AEG01,AEG01_03,S,2020,07.09.2020,1.28,26.4,26.4,12.6,73.33333333,73.33333333,1.28,73.33333333,73.33333333,12.6,1.28,73.33333333,73.33333333,12.6,ALB_2020_09_13,ALB_2020_08_21,188,524,299,3881,219,696,553,3322,0.0188,0.0524,0.0299,0.3881,0.856937799,0.613414985,0.627760252,0.585294118,0.359122116,0.762088536,1.752508361,12.97993311,0.0219,0.0696,0.0553,0.3322,0.714580645,0.472551402,0.461576929,0.468,0.278605452,0.653558985,1.258589512,6.007233273
AEG01_03_S_2021,A_S_2021,ALB,AEG01,AEG01_03,S,2021,20.09.2021,2.55,41.99,41.99,12.6,116.6388889,116.6388889,2.55,116.6388889,116.6388889,12.6,2.55,116.6388889,116.6388889,12.6,ALB_2021_09_23,,185,612,478,3573,NA,NA,NA,NA,0.0185,0.0612,0.0478,0.3573,0.764008887,0.525638239,0.514000066,0.512926748,0.310974152,0.707526882,1.280334728,7.474895397,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AEG01_04_J_2020,A_J_2020,ALB,AEG01,AEG01_04,J,2020,17.06.2020,5.21,NA,1.0765,NA,NA,2.990277778,5.21,NA,NA,NA,5.21,NA,NA,NA,ALB_2020_06_XX,,136,521,325,4691,NA,NA,NA,NA,0.0136,0.0521,0.0325,0.4691,0.870414673,0.705513541,0.698738877,0.653853834,0.4376023,0.800076746,1.603076923,14.43384615,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AEG01_04_S_2020,A_S_2020,ALB,AEG01,AEG01_04,S,2020,07.09.2020,1.61,NA,39.28866,11.2,NA,109.1351667,1.61,NA,109.1351667,11.2,1.61,NA,109.1351667,11.2,ALB_2020_09_13,ALB_2020_08_21,178,525,279,3917,231,692,543,3289,0.0178,0.0525,0.0279,0.3917,0.867016206,0.623517475,0.637976992,0.593410178,0.364660436,0.763619991,1.88172043,14.03942652,0.0231,0.0692,0.0543,0.3289,0.716597077,0.470456819,0.463397347,0.466372283,0.276274612,0.652348656,1.274401473,6.057090239
AEG01_04_S_2021,A_S_2021,ALB,AEG01,AEG01_04,S,2021,20.09.2021,1.59,NA,54.65142,10.8,NA,151.8095,1.59,NA,151.8095,10.8,1.59,NA,151.8095,10.8,ALB_2021_09_23,,195,609,462,3564,NA,NA,NA,NA,0.0195,0.0609,0.0462,0.3564,0.770491803,0.528528979,0.521397116,0.515510747,0.311624808,0.708123652,1.318181818,7.714285714,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AEG01_05_J_2020,A_J_2020,ALB,AEG01,AEG01_05,J,2020,17.06.2020,5.52,206.86,206.86,75,574.6111111,574.6111111,5.52,574.6111111,574.6111111,75,5.52,574.6111111,574.6111111,75,ALB_2020_06_XX,,141,540,323,4632,NA,NA,NA,NA,0.0141,0.054,0.0323,0.4632,0.86962664,0.699186095,0.694439968,0.649271723,0.431896132,0.791183295,1.671826625,14.34055728,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AEG01_05_S_2020,A_S_2020,ALB,AEG01,AEG01_05,S,2020,07.09.2020,2.61,NA,44.74754,12.8,NA,124.2987222,2.61,NA,124.2987222,12.8,2.61,NA,124.2987222,12.8,ALB_2020_09_13,ALB_2020_08_21,178,528,279,3975,254,694,533,3276,0.0178,0.0528,0.0279,0.3975,0.868829337,0.630949292,0.645521867,0.599092284,0.370460436,0.765489674,1.892473118,14.24731183,0.0254,0.0694,0.0533,0.3276,0.720136519,0.471137463,0.470691194,0.467079124,0.275943772,0.650377834,1.30206379,6.146341463
AEG01_05_S_2021,A_S_2021,ALB,AEG01,AEG01_05,S,2021,20.09.2021,3.05,NA,51.34398,10.2,NA,142.6221667,3.05,NA,142.6221667,10.2,3.05,NA,142.6221667,10.2,ALB_2021_09_23,,198,602,446,3591,NA,NA,NA,NA,0.0198,0.0602,0.0446,0.3591,0.779043844,0.536272116,0.531896902,0.522020582,0.315875464,0.712854758,1.349775785,8.051569507,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AEG01_06_J_2020,A_J_2020,ALB,AEG01,AEG01_06,J,2020,17.06.2020,5.56,NA,1.0765,NA,NA,2.990277778,5.56,NA,NA,NA,5.56,NA,NA,NA,ALB_2020_06_XX,,149,515,321,4649,NA,NA,NA,NA,0.0149,0.0515,0.0321,0.4649,0.87082495,0.701713426,0.699983827,0.65115346,0.433789964,0.800542215,1.604361371,14.48286604,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AEG01_06_S_2020,A_S_2020,ALB,AEG01,AEG01_06,S,2020,07.09.2020,2.4,46.4,46.4,14.2,128.8888889,128.8888889,2.4,128.8888889,128.8888889,14.2,2.4,128.8888889,128.8888889,14.2,ALB_2020_09_13,ALB_2020_08_21,174,522,298,3973,245,660,534,3404,0.0174,0.0522,0.0298,0.3973,0.860454226,0.625502104,0.635549253,0.594596052,0.368419032,0.767741935,1.751677852,13.33221477,0.0245,0.066,0.0534,0.3404,0.728796343,0.488573841,0.485765546,0.481651376,0.288646856,0.67519685,1.235955056,6.374531835
AEG01_06_S_2021,A_S_2021,ALB,AEG01,AEG01_06,S,2021,20.09.2021,3.29,47.12,47.12,14,130.8888889,130.8888889,3.29,130.8888889,130.8888889,14,3.29,130.8888889,130.8888889,14,ALB_2021_09_23,,190,614,454,3793,NA,NA,NA,NA,0.019,0.0614,0.0454,0.3793,0.786202025,0.560889898,0.553107607,0.541635125,0.335300136,0.721352394,1.352422907,8.354625551,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AEG01_07_J_2020,A_J_2020,ALB,AEG01,AEG01_07,J,2020,17.06.2020,5.46,NA,138.91322,40.4,NA,385.8700556,5.46,NA,385.8700556,40.4,5.46,NA,385.8700556,40.4,ALB_2020_06_XX,,149,541,323,4686,NA,NA,NA,NA,0.0149,0.0541,0.0323,0.4686,0.871032142,0.705475642,0.703414697,0.653861525,0.437296132,0.792997896,1.674922601,14.50773994,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AEG01_07_S_2020,A_S_2020,ALB,AEG01,AEG01_07,S,2020,07.09.2020,2.32,NA,47.47698,13.6,NA,131.8805,2.32,NA,131.8805,13.6,2.32,NA,131.8805,13.6,ALB_2020_09_13,ALB_2020_08_21,172,522,299,3951,218,657,542,3356,0.0172,0.0522,0.0299,0.3951,0.859294118,0.622417954,0.631615358,0.592216216,0.366122116,0.766599598,1.745819398,13.21404682,0.0218,0.0657,0.0542,0.3356,0.721908671,0.479981988,0.469845722,0.474376264,0.283071528,0.672564166,1.212177122,6.191881919
AEG01_07_S_2021,A_S_2021,ALB,AEG01,AEG01_07,S,2021,20.09.2021,2.4,NA,53.54894,10.6,NA,148.7470556,2.4,NA,148.7470556,10.6,2.4,NA,148.7470556,10.6,ALB_2021_09_23,,203,615,459,3769,NA,NA,NA,NA,0.0203,0.0615,0.0459,0.3769,0.782876064,0.556467123,0.551648278,0.538036411,0.332415556,0.719434307,1.339869281,8.211328976,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AEG01_08_J_2020,A_J_2020,ALB,AEG01,AEG01_08,J,2020,17.06.2020,4.64,NA,205.7845,60,NA,571.6236111,4.64,NA,571.6236111,60,4.64,NA,571.6236111,60,ALB_2020_06_XX,,137,553,324,4693,NA,NA,NA,NA,0.0137,0.0553,0.0324,0.4693,0.870839147,0.706016573,0.699734136,0.654237796,0.437899216,0.789172703,1.706790123,14.4845679,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AEG01_08_S_2020,A_S_2020,ALB,AEG01,AEG01_08,S,2020,07.09.2020,1.35,NA,39.28866,11.2,NA,109.1351667,1.35,NA,109.1351667,11.2,1.35,NA,109.1351667,11.2,ALB_2020_09_13,ALB_2020_08_21,179,526,278,3962,230,676,581,3281,0.0179,0.0526,0.0278,0.3962,0.868867925,0.629562792,0.644619423,0.598051948,0.369257352,0.765597148,1.892086331,14.25179856,0.023,0.0676,0.0581,0.3281,0.699119627,0.459953391,0.448743518,0.457007448,0.271791804,0.658327015,1.163511188,5.647160069
AEG01_08_S_2021,A_S_2021,ALB,AEG01,AEG01_08,S,2021,20.09.2021,2.64,NA,61.2663,12,NA,170.1841667,2.64,NA,170.1841667,12,2.64,NA,170.1841667,12,ALB_2021_09_23,,190,611,454,3746,NA,NA,NA,NA,0.019,0.0611,0.0454,0.3746,0.783809524,0.55474669,0.54702559,0.53673913,0.330600136,0.719531788,1.345814978,8.251101322,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AEG01_09_J_2020,A_J_2020,ALB,AEG01,AEG01_09,J,2020,17.06.2020,5.22,179.15,179.15,38.6,497.6388889,497.6388889,5.22,497.6388889,497.6388889,38.6,5.22,497.6388889,497.6388889,38.6,ALB_2020_06_XX,,136,537,314,4585,NA,NA,NA,NA,0.0136,0.0537,0.0314,0.4585,0.871810574,0.696119594,0.691145058,0.647186585,0.428068376,0.790316283,1.710191083,14.60191083,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AEG01_09_S_2020,A_S_2020,ALB,AEG01,AEG01_09,S,2020,07.09.2020,1.23,NA,29.73562,8.4,NA,82.59894444,1.23,NA,82.59894444,8.4,1.23,NA,82.59894444,8.4,ALB_2020_09_13,ALB_2020_08_21,190,529,311,3909,211,687,621,3333,0.019,0.0529,0.0311,0.3909,0.852606635,0.613766939,0.626829268,0.585357918,0.360759124,0.761604326,1.70096463,12.56913183,0.0211,0.0687,0.0621,0.3333,0.685887709,0.457384945,0.438083546,0.454322091,0.273115164,0.658208955,1.106280193,5.367149758
AEG01_09_S_2021,A_S_2021,ALB,AEG01,AEG01_09,S,2021,20.09.2021,3.23,NA,65.67622,12.8,NA,182.4339444,3.23,NA,182.4339444,12.8,3.23,NA,182.4339444,12.8,ALB_2021_09_23,,201,643,449,3666,NA,NA,NA,NA,0.0201,0.0643,0.0449,0.3666,0.781773998,0.545490925,0.541491331,0.529402084,0.323084716,0.701554885,1.432071269,8.16481069,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AEG01_10_J_2020,A_J_2020,ALB,AEG01,AEG01_10,J,2020,17.06.2020,4.48,NA,138.23086,40.2,NA,383.9746111,4.48,NA,383.9746111,40.2,4.48,NA,383.9746111,40.2,ALB_2020_06_XX,,142,557,337,4492,NA,NA,NA,NA,0.0142,0.0557,0.0337,0.4492,0.860426589,0.678886071,0.672373616,0.63409299,0.416539308,0.77936225,1.652818991,13.32937685,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AEG01_10_S_2020,A_S_2020,ALB,AEG01,AEG01_10,S,2020,07.09.2020,1.64,26.5,26.5,9.8,73.61111111,73.61111111,1.64,73.61111111,73.61111111,9.8,1.64,73.61111111,73.61111111,9.8,ALB_2020_09_13,ALB_2020_08_21,205,537,353,3809,245,700,568,3216,0.0205,0.0537,0.0353,0.3809,0.830370014,0.589511606,0.600437819,0.565815324,0.346688652,0.752876208,1.521246459,10.79036827,0.0245,0.07,0.0568,0.3216,0.699788584,0.454071554,0.447705677,0.452185792,0.266551712,0.642492339,1.232394366,5.661971831
AEG01_10_S_2021,A_S_2021,ALB,AEG01,AEG01_10,S,2021,20.09.2021,3.04,67.59,67.59,10.8,187.75,187.75,3.04,187.75,187.75,10.8,3.04,187.75,187.75,10.8,ALB_2021_09_23,,212,647,478,3583,NA,NA,NA,NA,0.0212,0.0647,0.0478,0.3583,0.764590002,0.526978588,0.522340354,0.514016113,0.311974152,0.694089835,1.353556485,7.4958159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AEG02_01_J_2020,A_J_2020,ALB,AEG02,AEG02_01,J,2020,18.06.2020,3.74,NA,61.12418,17.6,NA,169.7893889,3.74,NA,169.7893889,17.6,3.74,NA,169.7893889,17.6,ALB_2020_06_XX,,83,344,239,3110,NA,NA,NA,NA,0.0083,0.0344,0.0239,0.311,0.857270827,0.524533018,0.515569443,0.515810277,0.287837076,0.800810654,1.439330544,13.0125523,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AEG02_01_S_2020,A_S_2020,ALB,AEG02,AEG02_01,S,2020,10.09.2020,2.89,NA,42.0181,12,NA,116.7169444,2.89,NA,116.7169444,12,2.89,NA,116.7169444,12,ALB_2020_09_13,ALB_2020_08_21,123,386,184,4389,152,402,288,2775,0.0123,0.0386,0.0184,0.4389,0.919527662,0.708838483,0.721492056,0.658884362,0.421067456,0.838324607,2.097826087,23.85326087,0.0152,0.0402,0.0288,0.2775,0.81194907,0.461711544,0.465277258,0.462668982,0.249588192,0.746931067,1.395833333,9.635416667
AEG02_01_S_2021,A_S_2021,ALB,AEG02,AEG02_01,S,2021,23.09.2021,4.72,NA,62.36878,12.2,NA,173.2466111,4.72,NA,173.2466111,12.2,4.72,NA,173.2466111,12.2,ALB_2021_09_23,,18,279,145,3792,NA,NA,NA,NA,0.0018,0.0279,0.0145,0.3792,0.926339853,0.64480198,0.627624423,0.61211816,0.36514718,0.86293294,1.924137931,26.15172414,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AEG02_02_J_2020,A_J_2020,ALB,AEG02,AEG02_02,J,2020,18.06.2020,4.29,47.19333333,47.19333333,16.2,131.0925926,131.0925926,4.29,131.0925926,131.0925926,16.2,4.29,131.0925926,131.0925926,16.2,ALB_2020_06_XX,,99,361,289,3477,NA,NA,NA,NA,0.0099,0.0361,0.0289,0.3477,0.846521508,0.562432078,0.550851851,0.545516769,0.319691276,0.811881188,1.249134948,12.03114187,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AEG02_02_S_2020,A_S_2020,ALB,AEG02,AEG02_02,S,2020,10.09.2020,6.35,NA,62.4889,18,NA,173.5802778,6.35,NA,173.5802778,18,6.35,NA,173.5802778,18,ALB_2020_09_13,ALB_2020_08_21,129,383,190,4444,137,433,277,2939,0.0129,0.0383,0.019,0.4444,0.91799741,0.713758389,0.727602367,0.662341706,0.42598596,0.841309302,2.015789474,23.38947368,0.0137,0.0433,0.0277,0.2939,0.827736318,0.489201547,0.490293587,0.486002921,0.267054268,0.743179122,1.563176895,10.6101083
