,plot id,Useful_PlotID,Exploratory,Qnum,month,year,date_releves,m from south corner,SpecRich,LAI_field,Biomass_60x60m2,Biomass_gm2,Grass_percent_cover,Forb_percent_cover,Legumes_percent_cover,Bare_percent_cover,Litter_percent_cover,Moss_percent_cover,Senescent_percent_cover,Moribund_percent_cover,Dung_percent_cover,Shrub_percent_cover,Green_veg_percent_cover,Grass_height,Forbs_height,Legumes_height,RPM,comments_quadrat,comments_plot,date_uav,UAV,time_UAV,green,red,rededge,nir,RAOsQ,biomass_g,biomass_gm2
0,AEG1,AEG01,ALB,AEG01_01,6,2020,17.06.2020,6.0,30.0,4.84,,,20.0,73.0,,4.0,1.0,,2.0,,,,93.0,,,,35.8,,No flight because of powerline,17.06.2020,Bluegrass,,,,,,,,
1,AEG1,AEG01,ALB,AEG01_02,6,2020,17.06.2020,10.5,30.0,3.8,109.41,844.212963,10.0,75.0,2.0,7.0,3.0,,1.0,2.0,,,87.0,,,,42.2,,,17.06.2020,Bluegrass,,,,,,,,
2,AEG1,AEG01,ALB,AEG01_03,6,2020,17.06.2020,15.0,30.0,4.28,,,15.0,70.0,1.0,6.0,4.0,,1.0,3.0,,,86.0,,,,35.0,,,17.06.2020,Bluegrass,,,,,,,,
3,AEG1,AEG01,ALB,AEG01_04,6,2020,17.06.2020,19.5,30.0,5.21,,,15.0,78.0,2.0,2.0,1.0,,2.0,,,,95.0,,,,,,,17.06.2020,Bluegrass,,,,,,,,
4,AEG1,AEG01,ALB,AEG01_05,6,2020,17.06.2020,24.0,30.0,5.52,206.86,1596.141975,25.0,68.0,1.0,3.0,2.0,,1.0,,,,94.0,,,,75.0,,,17.06.2020,Bluegrass,,,,,,,,
5,AEG1,AEG01,ALB,AEG01_06,6,2020,17.06.2020,28.5,30.0,5.56,,,10.0,86.0,1.0,0.1,1.9,,1.0,,,,97.0,,,,,,,17.06.2020,Bluegrass,,,,,,,,
6,AEG1,AEG01,ALB,AEG01_07,6,2020,17.06.2020,33.0,30.0,5.46,,,8.0,91.7,,0.1,0.1,,0.1,,,,100.0,,,,40.4,,,17.06.2020,Bluegrass,,,,,,,,
7,AEG1,AEG01,ALB,AEG01_08,6,2020,17.06.2020,37.5,30.0,4.64,,,15.0,74.0,5.0,0.1,2.0,,3.9,,,,94.0,,,,60.0,,,17.06.2020,Bluegrass,,,,,,,,
8,AEG1,AEG01,ALB,AEG01_09,6,2020,17.06.2020,42.0,30.0,5.22,179.15,1382.330247,50.0,44.0,2.0,0.1,2.0,,1.9,,,,96.0,,,,38.6,,,17.06.2020,Bluegrass,,,,,,,,
9,AEG1,AEG01,ALB,AEG01_10,6,2020,17.06.2020,46.0,30.0,4.48,,,41.0,51.0,,5.0,2.0,,1.0,,,,92.0,,,,40.2,,,17.06.2020,Bluegrass,,,,,,,,
10,AEG2,AEG02,ALB,AEG02_01,6,2020,18.06.2020,6.0,20.0,3.74,,,40.0,43.0,10.0,5.0,,,,2.0,,,93.0,27.0,17.0,19.0,17.6,,,18.06.2020,Bluegrass,15:00,439.0,180.0,1930.0,3325.0,0.546629256,,
11,AEG2,AEG02,ALB,AEG02_02,6,2020,18.06.2020,10.5,20.0,4.29,47.19,364.1203704,20.0,30.0,46.0,2.0,,,,2.0,,,96.0,22.0,22.0,16.0,16.2,,intensively managed,18.06.2020,Bluegrass,15:00,564.0,217.5,2449.5,3995.0,0.544532733,,
12,AEG2,AEG02,ALB,AEG02_03,6,2020,18.06.2020,15.0,20.0,4.14,,,37.0,41.0,18.0,3.0,1.0,,,,,,94.0,33.0,21.0,15.0,21.2,,not mown,18.06.2020,Bluegrass,15:00,503.0,212.0,2192.0,3793.5,0.645154831,,
13,AEG2,AEG02,ALB,AEG02_04,6,2020,18.06.2020,19.5,20.0,4.09,,,46.0,40.0,6.0,6.0,,,,2.0,,,92.0,28.0,22.0,8.0,18.2,,overcast when flown,18.06.2020,Bluegrass,15:00,503.5,214.0,2204.5,3784.0,0.684568623,,
14,AEG2,AEG02,ALB,AEG02_05,6,2020,18.06.2020,24.0,20.0,4.27,43.79,337.8858025,20.0,68.0,1.0,10.0,1.0,,,,,,89.0,18.0,24.0,5.0,18.4,,,18.06.2020,Bluegrass,15:00,511.0,211.0,2255.5,3683.0,0.472075758,,
15,AEG2,AEG02,ALB,AEG02_06,6,2020,18.06.2020,28.5,20.0,4.13,,,66.0,24.0,1.0,,4.0,,,5.0,,,91.0,32.0,24.0,18.0,19.6,,,18.06.2020,Bluegrass,15:00,417.0,175.0,1853.5,3307.0,0.628965317,,
16,AEG2,AEG02,ALB,AEG02_07,6,2020,18.06.2020,33.0,20.0,4.64,,,43.0,50.0,,5.0,2.0,,,,,,93.0,26.0,26.0,,17.4,,,18.06.2020,Bluegrass,15:00,462.5,201.0,1999.0,3384.5,0.658284053,,
17,AEG2,AEG02,ALB,AEG02_08,6,2020,18.06.2020,37.5,20.0,4.35,,,79.0,15.0,,3.0,2.0,,,1.0,,,94.0,35.0,24.0,,22.2,,,18.06.2020,Bluegrass,15:00,391.0,169.0,1805.0,3194.5,0.604999384,,
18,AEG2,AEG02,ALB,AEG02_09,6,2020,18.06.2020,42.0,20.0,4.73,50.26,387.808642,86.0,9.0,,,5.0,,,,,,95.0,29.0,21.0,,19.6,,,18.06.2020,Bluegrass,15:00,433.5,190.5,2135.0,3721.0,1.40890524,,
19,AEG2,AEG02,ALB,AEG02_10,6,2020,18.06.2020,46.0,20.0,3.62,,,66.0,20.0,,,14.0,,,,,,86.0,32.0,19.0,,15.6,,,18.06.2020,Bluegrass,15:00,356.5,174.5,1556.0,2578.0,1.700337469,,
20,AEG3,AEG03,ALB,AEG03_01,6,2020,15.06.2020,6.0,24.0,1.93,,,30.0,47.0,7.0,0.1,4.9,3.0,3.0,5.0,,,84.0,40.0,17.0,17.0,16.2,,,15.06.2020,Bluegrass,14:00,530.0,323.5,1844.5,2801.0,0.736918641,,
21,AEG3,AEG03,ALB,AEG03_02,6,2020,15.06.2020,10.5,24.0,2.35,60.83,469.367284,37.0,42.0,6.0,1.0,6.0,1.0,4.0,3.0,,,85.0,38.0,18.0,18.0,18.8,,,15.06.2020,Bluegrass,14:00,497.5,323.5,1746.5,2691.0,0.581493881,,
22,AEG3,AEG03,ALB,AEG03_03,6,2020,15.06.2020,15.0,24.0,2.66,,,42.0,39.0,3.0,,8.0,,5.0,3.0,,,84.0,34.0,16.0,15.0,24.0,,,15.06.2020,Bluegrass,14:00,480.5,320.0,1758.5,2763.0,0.752868996,,
23,AEG3,AEG03,ALB,AEG03_04,6,2020,15.06.2020,19.5,24.0,2.31,,,30.0,50.0,9.0,,4.0,,5.0,2.0,,,89.0,40.0,15.0,15.0,18.0,,,15.06.2020,Bluegrass,14:00,536.0,316.0,1951.0,3017.0,0.548208114,,
24,AEG3,AEG03,ALB,AEG03_05,6,2020,15.06.2020,24.0,24.0,3.57,73.6,567.9012346,58.0,14.0,5.0,9.0,5.0,,7.0,2.0,,,77.0,49.0,15.0,17.0,23.2,Ant hive x2,,15.06.2020,Bluegrass,14:00,491.5,314.5,1746.5,2750.0,0.648708139,,
25,AEG3,AEG03,ALB,AEG03_06,6,2020,15.06.2020,28.5,24.0,2.68,,,31.0,35.0,20.0,1.0,4.0,,5.0,4.0,,,86.0,33.0,26.0,10.0,21.8,,,15.06.2020,Bluegrass,14:00,513.0,309.0,1894.5,2989.5,0.533331767,,
26,AEG3,AEG03,ALB,AEG03_07,6,2020,15.06.2020,33.0,24.0,3.3,,,44.0,35.0,10.0,,3.0,,5.0,3.0,,,89.0,28.0,20.0,15.0,15.2,,,15.06.2020,Bluegrass,14:00,541.5,322.5,1962.0,3049.0,0.562901597,,
27,AEG3,AEG03,ALB,AEG03_08,6,2020,15.06.2020,37.5,24.0,3.06,,,45.0,34.0,12.0,,4.0,,3.0,2.0,,,91.0,28.0,15.0,15.0,13.2,,,15.06.2020,Bluegrass,14:00,580.0,312.5,2118.0,3268.0,0.560321564,,
28,AEG3,AEG03,ALB,AEG03_09,6,2020,15.06.2020,42.0,24.0,3.75,90.32,696.9135802,40.0,30.0,20.0,0.1,4.9,,4.0,1.0,,,90.0,32.0,18.0,18.0,22.4,,,15.06.2020,Bluegrass,14:00,543.0,304.0,2062.0,3297.0,0.736989055,,
